,developer,name,platforms,publisher,release,reviewed,score
737,Telltale Games,The Walking Dead: Episode 4,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2012-10-10,2012-10-17,8.5
738,Team17,Worms: Revolution,"360, PS Vita, PS3, Win",Team17,2012-10-10,2012-10-16,5
739,Harmonix Music Systems,Dance Central 3,360,Microsoft Game Studios,2012-10-16,2012-10-14,9.5
740,Visual Concepts,NBA 2K13,"360, Android, PS3, PSP, Wii, Wii U, Win, iOS",2K Sports,2012-10-02,2012-10-12,8
741,Playground Games,Forza Horizon,360,Microsoft Game Studios,2012-10-23,2012-10-12,6
742,Vblank Entertainment,Retro City Rampage,"360, 3DS, Mac, PS Vita, PS3, PS4, WiiWare, Win",Vblank Entertainment,2012-10-09,2012-10-11,6.5
743,Lionhead Studios,Fable: The Journey,360,Microsoft Studios,2012-10-09,2012-10-09,4.5
744,Arkane Studios,Dishonored,"360, PS3, Win",Bethesda Softworks,2012-10-09,2012-10-08,9
745,Firaxis Games,XCOM: Enemy Unknown,"360, Mac, PS3, Win, iOS",2K Games,2012-10-09,2012-10-07,8.5
746,Sonic Team,Nights into Dreams...,"PSN, Sega Saturn, Win, XBLA",Sega,1996-08-31,2012-10-02,5.5
747,Game Freak,Pokémon Black 2/Pokémon White 2,DS,Nintendo,2012-10-07,2012-10-01,7
748,Spike Chunsoft,Fire Pro Wrestling (2012),360,Microsoft Game Studios,2012-09-21,2012-10-01,5
749,Capcom,Resident Evil 6,"360, PS3, Win",Capcom,2012-10-02,2012-09-30,4
750,EA Canada,FIFA 13,"360, 3DS, PS Vita, PS3, PSP, Wii, Wii U, Win",EA Sports,2012-09-25,2012-09-28,9
751,Runic Games,Torchlight 2,Win,Runic Games,2012-09-20,2012-09-25,8.5
752,Rovio Entertainment,Bad Piggies,"Android, Mac, Win, iOS",Rovio Entertainment,2012-09-27,2012-09-25,7
753,Arkedo,Hell Yeah! Wrath of the Dead Rabbit,"360, PSN, Win",Sega,2012-09-26,2012-09-24,6
754,Subset Games,FTL: Faster Than Light,"Linux, Mac, Win, iOS",Subset Games,2012-09-14,2012-09-20,9
755,Pastagames,Rayman Jungle Run,iOS,Ubisoft,2012-09-18,2012-09-19,8
756,Gearbox Software,Borderlands 2,"360, Mac, PS Vita, PS3, Win",2K Games,2012-09-18,2012-09-17,7.5
757,PlayStation C.A.M.P.,Tokyo Jungle,"PS3, PlayStation Mobile",Sony Computer Entertainment,2012-09-25,2012-09-17,8
758,Namco Bandai,Tekken Tag Tournament 2,"360, PS3, Wii U",Namco Bandai,2012-09-11,2012-09-13,8
759,Double Eleven,LittleBigPlanet PS Vita,PS Vita,Sony Computer Entertainment,2012-09-25,2012-09-11,9
760,WayForward Technologies,Double Dragon Neon,"360, PSN, Win",Majesco Entertainment,2012-09-11,2012-09-10,6.5
761,EA Canada,NHL 13,"360, PS3",EA Sports,2012-09-11,2012-09-10,8.5
762,Telltale Games,The Walking Dead: Episode 3,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2012-08-29,2012-09-03,8
763,Arc System Works,Persona 4 Arena,"360, PS3",Atlus,2012-08-07,2012-08-29,8
764,Sos,McPixel,iOS,Sos,2012-08-27,2012-08-29,8
765,Chair Entertainment,Vote!!!,iOS,Epic Games,2012-08-22,2012-08-27,6.5
766,Harmonix Music Systems,Rock Band Blitz,"PSN, XBLA",Harmonix Music Systems,2012-08-29,2012-08-27,8
767,EA Tiburon,Madden NFL 13,"360, PS Vita, PS3, Wii, Wii U",EA Sports,2012-08-28,2012-08-24,8
768,Nintendo,New Super Mario Bros. 2,3DS,Nintendo,2012-08-19,2012-08-20,7
769,High Moon Studios,Transformers: Fall of Cybertron,"360, PS3, Win",Activision,2012-08-21,2012-08-21,9
770,Owlchemy Labs,Jack Lumber,"Linux, Mac, Win, iOS",Sega,2012-08-16,2012-08-16,8
771,United Front Games,Sleeping Dogs,"360, PS3, Win",Square Enix,2012-08-14,2012-08-14,7
772,Vigil Games,Darksiders 2,"360, PS3, PS4, Wii U, Win, Xbox One",THQ,2012-08-14,2012-08-14,9
773,Humble Hearts,Dust: An Elysian Tail,"360, Win",Microsoft Game Studios,2012-08-15,2012-08-12,8
774,The Blast Furnace,Pitfall!,iOS,Activision,2012-08-09,2012-08-09,6
775,Queasy Games,Sound Shapes,"PS Vita, PS3, PS4",Sony Computer Entertainment,2012-08-07,2012-08-07,9
776,Colossal Games,Commando Jack,iOS,EA Chillingo,2012-07-18,2012-08-05,5
777,Tequila Works,Deadlight,"360, Win",Microsoft Game Studios,2012-08-01,2012-07-29,7
778,Square Enix Product Development Division 1,Kingdom Hearts 3D: Dream Drop Distance,3DS,Square Enix,2012-07-31,2012-07-26,5
779,Iron Galaxy Studios,Wreckateer,XBLA,Microsoft Game Studios,2012-07-25,2012-07-24,6
780,Funcom,The Secret World,Win,Electronic Arts,2012-07-03,2012-07-20,6.5
781,Subatomic Studios,Fieldrunners 2,"Android, Win, iOS",Subatomic Studios,2012-07-18,2012-07-19,8.5
782,Robomodo,Tony Hawk's Pro Skater HD,"PSN, Win, XBLA",Activision,2012-07-18,2012-07-18,5
783,n-Space,Heroes of Ruin,3DS,Square Enix,2012-07-17,2012-07-16,4
784,Right Square Bracket Left Square Bracket Games,Dyad,"PSN, Win",Right Square Bracket Left Square Bracket Games,2012-07-17,2012-07-15,9
785,Telltale Games,The Walking Dead: Episode 2,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2012-06-29,2012-07-05,9
786,Traveller's Tales,Lego Batman 2: DC Super Heroes,"360, 3DS, DS, PS Vita, PS3, Wii, Wii U, Win, iOS",Warner Bros. Interactive Entertainment,2012-06-19,2012-07-03,7.5
787,Benjamin Rivers,Home,"Mac, PS Vita, PS4, Win, iOS",Benjamin Rivers,2012-06-01,2012-07-03,8
788,Indies Zero,Theatrhythm Final Fantasy,"3DS, iOS",Square Enix,2012-07-03,2012-07-02,8.5
789,Mossmouth,Spelunky,"360, PS Vita, PS3, Win",Mossmouth,2012-07-04,2012-07-02,10
790,Beenox,The Amazing Spider Man,"360, 3DS, Android, DS, PS Vita, PS3, Wii, Win, iOS",Activision,2012-06-26,2012-06-28,7.5
791,Tecmo Koei Games,Pokémon Conquest,DS,Nintendo,2012-06-18,2012-06-27,5
792,Yager Development,Spec Ops: The Line,"360, Mac, PS3, Win",2K Games,2012-06-26,2012-06-26,8
793,Bluehole Studio,TERA,Win,En Masse Entertainment,2012-05-01,2012-06-21,6
794,Airtight Games,Quantum Conundrum,"PSN, Win, XBLA",Square Enix,2012-06-21,2012-06-20,7.5
795,FromSoftware,Steel Battalion: Heavy Armor,360,Capcom,2012-06-19,2012-06-19,1
796,Firaxis Games,Sid Meier's Civilization 5,"Mac, Win",2K Games,2010-09-21,2012-06-17,9
797,Vatra Games,Silent Hill: Downpour,"360, PS3",Konami Digital Entertainment,2012-03-13,2012-06-14,5
798,Grasshopper Manufacture,Lollipop Chainsaw,"360, PS3",Warner Bros. Interactive Entertainment,2012-06-12,2012-06-14,6.5
799,SCE Japan Studio,Gravity Rush,"PS Vita, PS4",Sony Computer Entertainment,2012-06-12,2012-06-12,7
800,Cyanide Studio,Game of Thrones,"360, PS3, Win",Atlus,2012-05-15,2012-05-30,5
801,Nihilistic Software,Resistance: Burning Skies,PS Vita,Sony Computer Entertainment,2012-05-29,2012-05-29,6.5
802,Codemasters Southam,Dirt Showdown,"360, PS3, Win",Codemasters,2012-06-12,2012-05-29,6
803,Plastic,Datura,PSN,Sony Computer Entertainment,2012-05-08,2012-05-27,6.5
804,Camelot Software Planning,Mario Tennis Open,3DS,Nintendo,2012-05-20,2012-05-24,6
805,Rockstar Vancouver,Max Payne 3,"360, Mac, PS3, Win",Rockstar Games,2012-05-15,2012-05-14,9
806,Mojang,Minecraft,"360, Android, Linux, Mac, PS Vita, PS3, PS4, Win, Xbox One, iOS",Mojang,2011-11-18,2012-05-07,7
807,Lionhead Studios,Fable Heroes,360,Microsoft,2012-05-02,2012-05-01,4
808,Steven Böger,Spellsword,iOS,Everplay Interactive,2012-04-26,2012-04-25,7
809,Climax Studios,Bloodforge,360,Microsoft Game Studios,2012-04-25,2012-04-25,2
810,Telltale Games,The Walking Dead: Episode 1,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2012-04-24,2012-04-23,9
811,Radical Entertainment,Prototype 2,"360, PS3, Win",Activision,2012-04-24,2012-04-23,7
812,Piranha Bytes,Risen 2: Dark Waters,"360, PS3, Win",Deep Silver,2012-04-24,2012-04-22,7
813,RedLynx,Trials Evolution,"Win, XBLA",Microsoft Game Studios,2012-04-18,2012-04-19,9
814,Almost Human Ltd.,Legend of Grimrock,Win,Almost Human Ltd.,2012-04-11,2012-04-12,6.5
815,Polytron,Fez,"360, Linux, Mac, PS Vita, PS3, PS4, Win, iOS",Microsoft Studios,2012-04-13,2012-04-11,8
816,Grasshopper Manufacture,Diabolical Pitch,360,Microsoft,2012-04-05,2012-04-03,4
817,LucasArts,Kinect Star Wars,360,Microsoft,2012-04-03,2012-04-02,4
818,Other Ocean Interactive,South Park: Tenorman's Revenge,XBLA,Microsoft Game Studios,2012-03-30,2012-04-01,3
819,Project Sora,Kid Icarus: Uprising,3DS,Nintendo,2012-03-23,2012-03-25,9
820,Team Ninja,Ninja Gaiden 3,"360, PS3",Tecmo Koei Games,2012-03-20,2012-03-20,5
821,Slant Six Games,Resident Evil: Operation Raccoon City,"360, PS3, Win",Capcom,2012-03-20,2012-03-19,3
822,Demiurge Studios,Shoot Many Robots,"Android, PSN, Win, XBLA, iOS",Ubisoft,2012-03-13,2012-03-13,7
823,Namco Bandai,Touch My Katamari,PS Vita,Namco Bandai,2012-02-22,2012-03-08,5
824,Darkworks,I Am Alive,"360, PSN, Win",Ubisoft,2012-03-07,2012-03-07,4
825,BioWare,Mass Effect 3,"360, PS3, Wii U, Win",Electronic Arts,2012-03-06,2012-03-06,10
826,thatgamecompany,Journey,"PS3, PS4",Sony Computer Entertainment,2012-03-13,2012-03-01,10
827,CyberConnect2,Asura's Wrath,"360, PS3",Capcom,2012-02-21,2012-02-27,7
828,EA Canada,SSX (2012),"360, PS3",EA Sports,2012-02-28,2012-02-28,9
829,Klei Entertainment,Shank 2,"360, PS3, Win",Electronic Arts,2012-02-07,2012-02-22,5
830,Fun Bits Interactive,Escape Plan,"PS Vita, PS4",Sony Computer Entertainment,2012-02-22,2012-02-22,6
831,Sony Bend,Uncharted: Golden Abyss,PS Vita,Sony Computer Entertainment,2012-02-15,2012-02-23,7
832,DrinkBox Studios,Tales from Space: Mutant Blobs Attack,"PS Vita, Win",DrinkBox Studios,2012-02-21,2012-02-21,9
833,Digital Extremes,The Darkness 2,"360, Mac, PS3, Win",2K Games,2012-02-07,2012-02-20,7
834,Big Huge Games,Kingdoms of Amalur: Reckoning,"360, PS3, Win",Electronic Arts,2012-02-07,2012-02-20,7
835,Starbreeze Studios,Syndicate,"360, PS3, Win",Electronic Arts,2012-02-21,2012-02-20,8.5
836,Remedy Entertainment,Alan Wake's American Nightmare,"360, Win",Microsoft Game Studios,2012-02-22,2012-02-20,7
