,developer,name,platforms,publisher,release,reviewed,score
563,Nintendo Entertainment Analysis and Development,The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,2013-11-22,2013-11-15,9.5
564,,Knack,PS4,Sony Computer Entertainment,,2013-11-13,6
565,Housemarque,Resogun,"PS Vita, PS3, PS4",Sony Computer Entertainment,,2013-11-13,8.5
566,Compulsion Games,Contrast,"360, PS3, PS4, Win",Compulsion Games,,2013-11-13,4.5
567,Guerrilla Games,Killzone: Shadow Fall,PS4,Sony Computer Entertainment,,2013-11-13,5
568,Insomniac Games,Ratchet and Clank: Into the Nexus,PS3,Sony Computer Entertainment,2013-11-12,2013-11-12,8.5
569,Infinity Ward,Call of Duty: Ghosts,"360, PS3, PS4, Wii U, Win, Xbox One",Activision,2013-11-05,2013-11-05,7
570,Irrational Games,Bioshock Infinite Burial at Sea Episode One,"360, PS3, Win",2K Games,2013-11-12,2013-11-11,7
571,Sega Sports R&D,Mario & Sonic at the Sochi 2014 Olympic Winter Games,Wii U,Sega,2013-11-15,2013-11-05,6
572,Nippon Ichi Software,Disgaea D2: A Brighter Darkness,PS3,NIS America,2013-10-08,2013-11-01,6.5
573,Yuke's,WWE 2K14,"360, PS3",2K Sports,2013-10-29,2013-10-28,8
574,Armature Studio,Batman: Arkham Origins Blackgate,"360, 3DS, PS Vita, PS3, Wii U, Win",Warner Bros. Interactive Entertainment,2013-10-25,2013-10-25,8
575,Capcom,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Capcom,2013-10-24,2013-10-24,8
576,TT Games,Lego Marvel Super Heroes,"360, 3DS, DS, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Warner Bros. Interactive Entertainment,2013-10-22,2013-10-22,8.5
577,Vicarious Visions,Skylanders Swap Force,"360, 3DS, PS3, PS4, Wii, Wii U, Xbox One",Activision,2013-11-21,2013-10-18,7.5
578,Eidos Montreal,Deus Ex: Human Revolution Director's Cut,"360, Mac, PS3, Wii U, Win",Square Enix,2013-10-22,2013-10-18,9
579,Sonic Team,Sonic: Lost World (Wii U),Wii U,Sega,2013-10-29,2013-10-18,6
580,Dimps Corporation,Sonic: Lost World (3DS),3DS,Sega,2013-10-29,2013-10-18,4
581,Galactic Cafe,The Stanley Parable (2013),"Mac, Win",Galactic Cafe,2013-10-17,2013-10-17,9
582,Minor Key Games,Eldritch,Win,,2013-10-21,2013-10-14,9
583,Game Freak,Pokémon X/Pokémon Y,3DS,Nintendo,2013-10-12,2013-10-04,9.5
584,Mastertronic,Montague's Mount,"Linux, Mac, Win",PolyPusher Studios,2013-10-09,2013-10-10,3.5
585,Telltale Games,The Wolf Among Us Episode One: Faith,"360, Mac, PS3, Win",Telltale Games,2013-10-11,2013-10-10,8
586,Flying Wild Hog,Shadow Warrior (2013),Win,Devolver Digital,2013-09-26,2013-10-09,6.5
587,Quantic Dream,Beyond: Two Souls,PS3,Sony Computer Entertainment,2013-10-08,2013-10-08,8
588,SCE Japan Studio,Rain,PS3,Sony Computer Entertainment,2013-10-01,2013-10-01,8.5
589,5th Cell Media,Scribblenauts Unmasked: A DC Comics Adventure,"3DS, Wii U, Win",Warner Bros. Interactive Entertainment,2013-09-24,2013-09-30,8
590,ZootFly,Marlow Briggs and the Mask of Death,"360, Win",505 Games,2013-09-20,2013-09-27,7
591,Atlus,Etrian Odyssey Untold: Millennium Girl,3DS,Atlus,2013-10-01,2013-09-26,6
592,EA Canada,FIFA 14,"360, PS Vita, PS3, PS4, Win, Xbox One",EA Sports,2013-09-24,2013-09-24,8
593,Mediatonic,Foul Play,"360, Linux, Mac, PS Vita, PS4, Win",Devolver Digital,2013-09-18,2013-09-24,7.5
594,Blizzard Entertainment,Diablo 3,"360, Mac, PS3, PS4, Win",Activision Blizzard,2012-05-15,2012-05-24,10
595,Nintendo Entertainment Analysis and Development,The Legend of Zelda: The Wind Waker HD,Wii U,Nintendo,2013-09-20,2013-09-18,9
596,Interceptor Entertainment,Rise of the Triad (2013),Win,Apogee Software,2013-07-31,2013-09-11,7
597,SCE Japan Studio,Puppeteer,PS3,Sony Computer Entertainment,2013-09-10,2013-09-10,6
598,Namco Tales Studio,Tales of Xillia,PS3,Namco Bandai,2013-08-06,2013-09-09,7
