,genres,name,platform,score
0,RPG,Kingdom Come: Deliverance,PC,8.0
1,Hardware,Analogue Super Nt,Super NES,8.5
2,Fighting,Injustice 2: TMNT DLC,Xbox One,8.8
3,Fighting,Injustice 2: TMNT DLC,PC,8.8
4,Fighting,Injustice 2: TMNT DLC,PlayStation 4,8.8
5,Adventure,Fe,PlayStation 4,6.5
6,Adventure,Fe,Nintendo Switch,6.5
7,Adventure,Fe,Xbox One,6.5
8,Adventure,Fe,PC,6.5
9,Action,Bayonetta 2,Nintendo Switch,9.0
10,Action,Dynasty Warriors 9,PlayStation 4,5.8
11,"Action, Adventure",Middle-earth: Shadow of War -- The Blade of Galadriel,PlayStation 4,6.8
12,Shooter,Call of Duty: WWII -- The Resistance,PlayStation 4,7.7
13,Strategy,Sid Meier's Civilization VI: Rise and Fall,PC,7.8
14,Fighting,Dissidia Final Fantasy NT,PlayStation 4,6.9
15,"Action, Adventure",Assassin's Creed Origins: The Hidden Ones,PlayStation 4,8.4
16,Platformer,Iconoclasts,PlayStation 4,8.4
17,Platformer,Iconoclasts,PlayStation Vita,8.4
18,Platformer,Iconoclasts,PC,8.4
19,Fighting,EA Sports UFC 3,Xbox One,7.5
20,Puzzle,Gorogoa,PC,8.5
21,Puzzle,Gorogoa,Macintosh,8.5
22,Puzzle,Gorogoa,iPhone,8.5
23,Puzzle,Gorogoa,Nintendo Switch,8.5
24,"Action, Adventure",Shadow of the Colossus,PlayStation 4,9.7
25,Adventure,Subnautica,PC,9.1
26,Platformer,Celeste,Nintendo Switch,10.0
27,Platformer,Celeste,PlayStation 4,10.0
28,Platformer,Celeste,PC,10.0
29,Platformer,Celeste,Xbox One,10.0
30,Action,Monster Hunter World,Xbox One,9.5
31,Action,Monster Hunter World,PlayStation 4,9.5
32,RPG,Lost Sphear,PlayStation 4,6.7
33,Fighting,Dragon Ball FighterZ,Xbox One,8.5
34,Fighting,Dragon Ball FighterZ,PlayStation 4,8.5
35,Fighting,Dragon Ball FighterZ,PC,8.5
36,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PlayStation 4,7.5
37,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PC,7.5
38,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,iPhone,7.5
39,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Android,7.5
40,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Xbox One,7.5
41,Shooter,Tom Clancy's Rainbow Six Siege,PC,8.5
42,Sports,AO Tennis,Xbox One,4.5
43,Sports,AO Tennis,PlayStation 4,4.5
44,Flight,InnerSpace,Nintendo Switch,6.5
45,Fighting,Street Fighter V: Arcade Edition,PC,9.0
46,Fighting,Street Fighter V: Arcade Edition,PlayStation 4,9.0
47,Adventure,L.A. Noire: The VR Case Files,PC,8.5
48,Fighting,Battlerite,PC,8.2
49,Shooter,PlayerUnknown's Battlegrounds,PC,9.5
50,Strategy,Sid Meier's Civilization VI,iPad,9.1
51,Strategy,Tiny Metal,PC,6.8
52,Adventure,Life is Strange: Before the Storm -- Episode 3: Hell is Empty,PC,7.8
53,Action,Dreadnought,PlayStation 4,7.4
54,Puzzle,Bridge Constructor Portal,PC,8.0
55,RPG,Fallout 4 VR,PC,7.9
56,Puzzle,Opus Magnum,PC,9.5
57,Action,Battlestar Galactica Deadlock,PlayStation 4,7.8
58,Adventure,The Legend of Zelda: Breath of the Wild -- Expansion Pass DLC #2 -- The Champions' Ballad,Nintendo Switch,7.8
59,Action,Hello Neighbor,PC,4.1
60,Shooter,Destiny 2 – Expansion I: Curse of Osiris,PC,5.5
61,Shooter,Destiny 2 – Expansion I: Curse of Osiris,Xbox One,5.5
62,Shooter,Destiny 2 – Expansion I: Curse of Osiris,PlayStation 4,5.5
63,Sports,WWE 2K18,Nintendo Switch,3.8
64,Shooter,Nine Parchments,Nintendo Switch,7.0
65,Shooter,Nine Parchments,PC,7.0
66,Sports,Rocket League,Nintendo Switch,9.3
67,Sports,Rocket League,PC,9.3
68,Sports,Rocket League,PlayStation 4,9.3
69,Sports,Rocket League,Xbox One,9.3
70,Shooter,Doom VFR,PC,8.0
71,Shooter,Doom VFR,PlayStation 4,8.0
72,"Action, RPG",The Surge,PC,7.5
73,RPG,Seven: The Days Long Gone,PC,4.0
74,"Music, Board",DropMix,iPhone,8.0
75,RPG,Kingdom Come: Deliverance,PC,8.0
76,Hardware,Analogue Super Nt,Super NES,8.5
77,Fighting,Injustice 2: TMNT DLC,Xbox One,8.8
78,Fighting,Injustice 2: TMNT DLC,PC,8.8
79,Fighting,Injustice 2: TMNT DLC,PlayStation 4,8.8
80,Adventure,Fe,Nintendo Switch,6.5
81,Adventure,Fe,PlayStation 4,6.5
82,Adventure,Fe,PC,6.5
83,Adventure,Fe,Xbox One,6.5
84,Action,Bayonetta 2,Nintendo Switch,9.0
85,Action,Dynasty Warriors 9,PlayStation 4,5.8
86,"Action, Adventure",Middle-earth: Shadow of War -- The Blade of Galadriel,PlayStation 4,6.8
87,Shooter,Call of Duty: WWII -- The Resistance,PlayStation 4,7.7
88,Strategy,Sid Meier's Civilization VI: Rise and Fall,PC,7.8
89,Fighting,Dissidia Final Fantasy NT,PlayStation 4,6.9
90,"Action, Adventure",Assassin's Creed Origins: The Hidden Ones,PlayStation 4,8.4
91,Platformer,Iconoclasts,PlayStation 4,8.4
92,Platformer,Iconoclasts,PlayStation Vita,8.4
93,Platformer,Iconoclasts,PC,8.4
94,Fighting,EA Sports UFC 3,Xbox One,7.5
95,Puzzle,Gorogoa,PC,8.5
96,Puzzle,Gorogoa,Macintosh,8.5
97,Puzzle,Gorogoa,iPhone,8.5
98,Puzzle,Gorogoa,Nintendo Switch,8.5
99,"Action, Adventure",Shadow of the Colossus,PlayStation 4,9.7
100,Shooter,Call of Duty: WWII,PC,8.0
101,Shooter,Call of Duty: WWII,Xbox One,8.0
102,Hardware,Xbox One X,Xbox One,9.0
103,Racing,WRC 7,PlayStation 4,7.3
104,Racing,WRC 7,Xbox One,7.3
105,"Card, Battle",Hand of Fate 2,PC,8.0
106,Racing,Need for Speed Payback,Xbox One,5.9
107,RPG,Horizon: Zero Dawn -- The Frozen Wilds,PlayStation 4,8.8
108,Platformer,Bubsy: The Woolies Strike Back,PlayStation 4,4.5
109,Platformer,Super Lucky's Tale,PC,5.0
110,Platformer,Super Lucky's Tale,Xbox One,5.0
111,Shooter,Wolfenstein 2: The New Colossus,PC,9.1
112,Shooter,Wolfenstein 2: The New Colossus,PlayStation 4,9.1
113,Shooter,Wolfenstein 2: The New Colossus,Xbox One,9.1
114,Simulation,Bomber Crew,PC,8.5
115,Platformer,Super Mario Odyssey,Nintendo Switch,10.0
116,"Action, Adventure",Assassin's Creed Origins,PC,9.0
117,"Action, Adventure",Assassin's Creed Origins,PlayStation 4,9.0
118,"Action, Adventure",Assassin's Creed Origins,Xbox One,9.0
119,Action,Overgrowth,PC,5.7
120,Action,Fire Emblem Warriors,Nintendo Switch,8.0
121,Adventure,Life is Strange: Before the Storm -- Episode 2,PC,7.8
122,RPG,ELEX,PC,4.9
123,Shooter,Raid: World War II,PlayStation 4,5.0
124,Sports,WWE 2K18,PlayStation 4,7.0
125,Racing,Gran Turismo Sport,PlayStation 4,7.5
126,"Platformer, Adventure",A Hat in Time,PC,8.0
127,"Platformer, Adventure",A Hat in Time,Xbox One,8.0
128,"Platformer, Adventure",A Hat in Time,PlayStation 4,8.0
129,RPG,South Park: The Fractured But Whole,Xbox One,8.5
130,RPG,South Park: The Fractured But Whole,PC,8.5
131,RPG,South Park: The Fractured But Whole,PlayStation 4,8.5
132,Adventure,The Evil Within 2,Xbox One,8.0
133,Adventure,Marvel's Guardians of the Galaxy -- Episode 4: Who Needs You,PC,8.6
134,Sports,FIFA 18 [Nintendo Switch],Nintendo Switch,5.5
135,"Action, Adventure",Middle-earth: Shadow of War,PlayStation 4,9.0
136,"Action, Adventure",Middle-earth: Shadow of War,Xbox One,9.0
137,"Action, Adventure",Middle-earth: Shadow of War,PC,9.0
138,Adventure,Batman: The Enemy Within -- Episode 2: The Pact,PC,5.0
139,"Racing, Action",Road Redemption,PC,5.7
140,RPG,Battle Chasers: Nightwar,PC,8.0
141,"Sports, RPG",Golf Story,Nintendo Switch,7.5
142,Shooter,Cuphead,Xbox One,8.8
143,Racing,Forza Motorsport 7,PC,9.2
144,Racing,Forza Motorsport 7,Xbox One,9.2
145,Hardware,iPhone 8,iPhone,8.0
146,Adventure,Hob,PC,7.8
147,"Flight, Action",Star Fox 2,Super NES,5.0
148,Compilation,Super NES Classic Edition,TV game systems,8.5
149,Shooter,Ruiner,PC,6.0
150,Shooter,Ruiner,PlayStation 4,6.0
151,Strategy,Total War: Warhammer II,PC,9.1
152,"Adventure, Action",Danganronpa V3: Killing Harmony,PlayStation 4,8.0
153,RPG,Divinity: Original Sin II,PC,9.6
154,Action,Heat Signature,PC,8.0
155,Action,SteamWorld Dig 2,PlayStation 4,8.8
156,Action,SteamWorld Dig 2,Nintendo Switch,8.8
157,Action,SteamWorld Dig 2,PC,8.8
158,Action,SteamWorld Dig 2,PlayStation Vita,8.8
159,Sports,FIFA 18,PC,8.1
160,Sports,FIFA 18,PlayStation 4,8.1
161,Sports,FIFA 18,Xbox One,8.1
162,Fighting,Pokken Tournament DX,Nintendo Switch,8.0
163,Action,Minecraft: New Nintendo 3DS Edition,New Nintendo 3DS,6.5
164,Sports,NBA 2K18,PlayStation 4,8.4
165,Sports,NBA Live 18,PlayStation 4,6.5
166,Fighting,Marvel vs Capcom Infinite,PlayStation 4,7.7
167,Racing,Project CARS 2,PlayStation 4,9.2
168,Racing,Project CARS 2,PC,9.2
169,Racing,Project CARS 2,Xbox One,9.2
170,Action,Dishonored: Death of the Outsider,PC,8.4
171,Action,Dishonored: Death of the Outsider,Xbox One,8.4
172,Action,Dishonored: Death of the Outsider,PlayStation 4,8.4
173,Shooter,Destiny 2,PC,8.5
174,Shooter,Destiny 2,Xbox One,8.5
175,Shooter,Destiny 2,PlayStation 4,8.5
176,Sports,NHL 18,Xbox One,7.4
177,Action,Metroid: Samus Returns,Nintendo 3DS,8.5
178,Sports,Pro Evolution Soccer 2018,PlayStation 4,9.2
179,RPG,Monster Hunter Stories,Nintendo 3DS,8.9
180,RPG,Pillars of Eternity: Complete Edition,PlayStation 4,8.5
181,RPG,Pillars of Eternity: Complete Edition,Xbox One,8.5
182,Adventure,Life is Strange: Before the Storm -- Episode 1,PC,7.5
183,Action,Knack 2,PlayStation 4,7.2
184,Adventure,ARK: Survival Evolved,PC,7.7
185,Strategy,Gigantic,Xbox One,7.5
186,Action,Absolver,PC,7.6
187,Strategy,Mario + Rabbids Kingdom Battle,Nintendo Switch,7.7
188,,F1 2017,PC,8.9
189,,F1 2017,PlayStation 4,8.9
190,Strategy,XCOM 2: War of the Chosen,PC,8.8
191,Sports,Madden NFL 18,PlayStation 4,8.6
192,Sports,Madden NFL 18,Xbox One,8.6
193,Adventure,Marvel's Guardians of the Galaxy -- Episode 3: More than a Feeling,PC,6.8
194,Action,Yakuza Kiwami,PlayStation 4,7.9
195,Strategy,StarCraft Remastered,PC,9.0
196,Action,Uncharted: The Lost Legacy,PlayStation 4,7.5
197,Shooter,LawBreakers,PC,7.9
198,Shooter,LawBreakers,PlayStation 4,7.9
199,RPG,Undertale,PC,10.0
200,RPG,Undertale,PlayStation 4,10.0
201,RPG,Undertale,Macintosh,10.0
202,Action,Agents of Mayhem,PlayStation 4,7.1
203,Action,Agents of Mayhem,PC,7.1
204,Shooter,Matterfall,PlayStation 4,7.0
205,Platformer,Sonic Mania,PlayStation 4,8.7
206,Fighting,Nidhogg 2,PC,8.0
207,Action,Mega Man Legacy Collection 2,PlayStation 4,6.0
208,Action,Hellblade: Senua's Sacrifice,PlayStation 4,9.0
209,Adventure,Batman: The Enemy Within -- Episode 1: The Enigma,PC,8.2
210,Action,Superhot VR,PlayStation 4,9.0
211,Action,Superhot VR,PC,9.0
212,Action,Lone Echo,PC,8.9
213,Adventure,Tacoma,PC,8.5
214,Simulation,Overcooked,Nintendo Switch,8.4
215,"Action, Compilation",Sega Genesis Flashback,TV game systems,5.0
216,Adventure,Sundered,PC,7.8
217,Adventure,Sundered,PlayStation 4,7.8
218,Platformer,Hey! Pikmin,Nintendo 3DS,6.8
219,RPG,Pyre,PlayStation 4,9.7
220,RPG,Pyre,PC,9.7
221,Shooter,Splatoon 2,Nintendo Switch,8.3
222,"Action, Platformer",Black The Fall,PC,6.5
223,"Action, Platformer",Black The Fall,PlayStation 4,6.5
224,Hardware,New Nintendo 2DS XL,New Nintendo 2DS XL,8.0
225,RPG,Final Fantasy XII: The Zodiac Age,PlayStation 4,8.8
226,Action,Elite: Dangerous,PlayStation 4,7.5
227,"Action, RPG",Diablo III: The Rise of the Necromancer,PC,8.5
228,Adventure,The Legend of Zelda: Breath of the Wild -- Expansion Pass DLC #1 -- The Master Trials,Nintendo Switch,8.0
229,RPG,Final Fantasy XIV Online: Stormblood,PC,9.2
230,Platformer,Crash Bandicoot N. Sane Trilogy,PlayStation 4,8.5
231,RPG,Ever Oasis,Nintendo 3DS,8.9
232,RPG,Valkyria Revolution,PlayStation 4,6.0
233,RPG,Darkest Dungeon: The Crimson Court,PC,7.7
234,Shooter,Nex Machina,PlayStation 4,8.0
235,Shooter,Nex Machina,PC,8.0
236,Fighting,Arms,Nintendo Switch,8.0
237,Action,Minecraft,Nintendo Switch,9.5
238,RPG,Elder Scrolls Online: Morrowind,PC,8.0
239,Racing,Dirt 4,PC,9.2
240,Racing,Dirt 4,PlayStation 4,9.2
241,Racing,Dirt 4,Xbox One,9.2
242,Adventure,Marvel's Guardians of the Galaxy -- Episode 2: Under Pressure,PC,7.9
243,Fighting,Tekken 7,Xbox One,9.5
244,Fighting,Tekken 7,PlayStation 4,9.5
245,"Simulation, Adventure",Star Trek: Bridge Crew,PlayStation 4,6.8
246,"Simulation, Adventure",Star Trek: Bridge Crew,PC,6.8
247,Action,Friday the 13th: The Game,PC,6.9
248,Racing,Danger Zone,PC,6.9
249,Racing,Danger Zone,PlayStation 4,6.9
250,Adventure,The Long Journey Home,PC,6.4
251,Action,Tokyo 42,PC,6.5
252,Adventure,The Walking Dead: A New Frontier -- Episode 5: From the Gallows,PC,8.4
253,Adventure,Rime,PlayStation 4,6.5
254,Strategy,Steel Division: Normandy 44,PC,8.7
255,Shooter,Reservoir Dogs: Bloody Days,PC,5.2
256,Adventure,Perception,PlayStation 4,4.8
257,Adventure,Perception,Xbox One,4.8
258,Adventure,Perception,PC,4.8
259,Strategy,Endless Space 2,PC,7.9
260,Adventure,Farpoint,PlayStation 4,7.5
261,Fighting,Injustice 2,Xbox One,9.0
262,Fighting,Injustice 2,PlayStation 4,9.0
263,"Strategy, RPG",Fire Emblem Echoes: Shadows of Valentia,Nintendo 3DS,7.8
264,"Action, RPG",The Surge,Xbox One,7.9
265,"Action, RPG",The Surge,PlayStation 4,7.9
266,Shooter,Prey,PlayStation 4,8.0
267,Shooter,Prey,PC,8.0
268,Shooter,Prey,Xbox One,8.0
269,Racing,Forza Horizon 3: Hot Wheels,Xbox One,9.0
270,Racing,Forza Horizon 3: Hot Wheels,PC,9.0
271,Sports,NBA Playgrounds,Xbox One,7.4
272,Shooter,Strafe,PC,6.3
273,Strategy,"Warhammer 40,000: Dawn of War III",PC,7.6
274,Shooter,Sniper: Ghost Warrior 3,PlayStation 4,5.5
275,Adventure,What Remains of Edith Finch,PC,8.8
276,Adventure,What Remains of Edith Finch,PlayStation 4,8.8
277,Hardware,Kingston HyperX Pulsefire FPS Gaming Mouse,PC,8.8
278,Adventure,Little Nightmares,PlayStation 4,8.8
279,Adventure,Little Nightmares,Xbox One,8.8
280,Adventure,Little Nightmares,PC,8.8
281,Action,Mr. Shifty,Nintendo Switch,6.2
282,RPG,Dragon Quest Heroes II,PlayStation 4,7.5
283,Adventure,The Walking Dead: A New Frontier -- Episode 4: Thicker Than Water,PC,6.5
284,"Action, Adventure",Outlast II,PC,8.3
285,Puzzle,Puyo Puyo Tetris,Nintendo Switch,8.7
286,Puzzle,Puyo Puyo Tetris,PlayStation 4,8.7
287,Simulation,Rick and Morty: Virtual Rick-ality,PC,7.6
288,"Racing, Action",Mario Kart 8 Deluxe,Nintendo Switch,9.3
289,Adventure,Paradigm,PC,8.0
290,Action,The Disney Afternoon Collection,PlayStation 4,7.0
291,Action,The Disney Afternoon Collection,PC,7.0
292,Action,The Disney Afternoon Collection,Xbox One,7.0
293,Action,Wonder Boy: The Dragon's Trap,Xbox One,7.1
294,Action,Wonder Boy: The Dragon's Trap,Nintendo Switch,7.1
295,Action,Wonder Boy: The Dragon's Trap,PlayStation 4,7.1
296,Action,Wonder Boy: The Dragon's Trap,PC,7.1
297,Adventure,Full Throttle: Remastered,PC,8.0
298,Adventure,Full Throttle: Remastered,PlayStation 4,8.0
299,Platformer,Voodoo Vince: Remastered,Xbox One,7.2
300,Platformer,Voodoo Vince: Remastered,PC,7.2
301,Adventure,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,PlayStation 4,8.5
302,Adventure,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,PC,8.5
303,Adventure,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,Xbox One,8.5
304,Hardware,ASUS RT-AC88U AC3100 Dual-Band Wi-Fi Gigabit Router,PC,9.0
305,Hardware,D-Link AC3200 Ultra Wi-Fi Router,PC,7.7
306,Adventure,Trove,PlayStation 4,6.2
307,Adventure,The Signal From Tölva,PC,6.5
308,Adventure,The Sexy Brutale,PC,8.2
309,Shooter,Graceful Explosion Machine,Nintendo Switch,8.0
310,Hardware,Linksys WRT3200ACM AC3200 MU-MIMO Gigabit Wi-Fi Router,PC,9.2
311,Shooter,Drawn to Death,PlayStation 4,4.0
312,Action,Bulletstorm: Full Clip Edition,PC,7.8
313,Action,Bulletstorm: Full Clip Edition,PlayStation 4,7.8
314,Adventure,LEGO City: Undercover,Xbox One,8.0
315,Adventure,LEGO City: Undercover,PC,8.0
316,Adventure,LEGO City: Undercover,PlayStation 4,8.0
317,Adventure,LEGO City: Undercover,Nintendo Switch,8.0
318,"Platformer, Puzzle",Snake Pass,PC,7.2
319,"Platformer, Puzzle",Snake Pass,Xbox One,7.2
320,"Platformer, Puzzle",Snake Pass,PlayStation 4,7.2
321,"Platformer, Puzzle",Snake Pass,Nintendo Switch,7.2
322,Platformer,Yooka-Laylee,Xbox One,7.0
323,Platformer,Yooka-Laylee,PC,7.0
324,Adventure,Thimbleweed Park,PC,8.5
325,Hardware,Nighthawk X4S Smart Wi-Fi Gaming Router,PC,9.3
326,RPG,Persona 5,PlayStation 4,9.7
327,Adventure,The Walking Dead: A New Frontier -- Episode 3: Above the Law,PC,7.2
328,"Action, RPG",Dark Souls III: The Ringed City,PC,8.0
329,"Action, RPG",Dark Souls III: The Ringed City,PlayStation 4,8.0
330,Sports,MLB The Show 17,PlayStation 4,9.5
331,Adventure,Rain World,PlayStation 4,6.3
332,Adventure,Rain World,PC,6.3
333,"Action, RPG",Has-Been Heroes,PC,6.1
334,"Action, RPG",Has-Been Heroes,Xbox One,6.1
335,"Action, RPG",Has-Been Heroes,PlayStation 4,6.1
336,Hardware,G.Skill RipJaws KM780 RGB Mechanical Gaming Keyboard,PC,9.3
337,Hardware,Logitech G810 Orion Spectrum RGB Mechanical Gaming Keyboard,PC,8.5
338,RPG,Mass Effect: Andromeda,PlayStation 4,7.7
339,RPG,Mass Effect: Andromeda,Xbox One,7.7
340,RPG,Mass Effect: Andromeda,PC,7.7
341,"Card, Battle",The Elder Scrolls Legends,iPad,8.3
342,"Card, Battle",The Elder Scrolls Legends,PC,8.3
343,RPG,The Binding of Isaac: Afterbirth+,Nintendo Switch,9.0
344,Hardware,Kingston HyperX Alloy FPS Mechanical Gaming Keyboard,PC,7.5
345,Racing,FlatOut 4: Total Insanity,PlayStation 4,6.6
346,Racing,FlatOut 4: Total Insanity,Xbox One,6.6
347,Action,LEGO Worlds,PC,7.2
348,Simulation,Story of Seasons: Trio of Towns,Nintendo 3DS,7.7
349,Action,Blaster Master Zero,Nintendo Switch,7.0
350,Action,Styx: Shards of Darkness,Xbox One,7.8
351,Action,Styx: Shards of Darkness,PC,7.8
352,Action,Styx: Shards of Darkness,PC,7.8
353,Action,Styx: Shards of Darkness,PlayStation 4,7.8
354,Hardware,Razer BlackWidowX Ultimate Gaming Keyboard,PC,8.7
355,Hardware,GeForce GTX 1080 Ti: Founders Edition Graphics Card,PC,9.7
356,Hardware,K70 RGB RapidFire Mechanical Gaming Keyboard,PC,6.8
357,Hardware,Corsair Void RGB USB Dolby 7.1 Gaming Headset,PC,8.0
358,Shooter,Tom Clancy's Ghost Recon: Wildlands,PC,7.9
359,Shooter,Tom Clancy's Ghost Recon: Wildlands,PlayStation 4,7.9
360,Shooter,Tom Clancy's Ghost Recon: Wildlands,Xbox One,7.9
361,Adventure,Psychonauts In the Rhombus of Ruin,PlayStation 4,7.5
362,Hardware,Turtle Beach PX24 Multi-Platform Gaming Headset,PC,7.7
363,Hardware,Nintendo Switch,Nintendo Switch,7.0
364,Hardware,Logitech Prodigy G231 Gaming Headset,PC,8.7
365,"Racing, Action",Fast RMX,Nintendo Switch,7.4
366,"Platformer, Adventure",Shovel Knight,Nintendo Switch,9.0
367,Puzzle,Snipperclips,Nintendo Switch,8.0
368,Action,Super Bomberman R,Nintendo Switch,6.2
369,Hardware,Razer Kraken Pro V2 Gaming Headset,PC,8.3
370,"Action, RPG",Nier Automata,PlayStation 4,8.9
371,Music,Just Dance 2017,Xbox One,7.0
372,Music,Just Dance 2017,Nintendo Switch,7.0
373,Party,1-2-Switch,Nintendo Switch,6.8
374,Adventure,The Legend of Zelda: Breath of the Wild,Wii U,10.0
375,Adventure,The Legend of Zelda: Breath of the Wild,Nintendo Switch,10.0
376,Shooter,Robo Recall,PC,8.5
377,RPG,Torment: Tides of Numenera,Xbox One,8.8
378,RPG,Torment: Tides of Numenera,PC,8.8
379,RPG,Torment: Tides of Numenera,PlayStation 4,8.8
380,Adventure,Night in the Woods,PC,8.7
381,Adventure,Night in the Woods,Nintendo Switch,8.7
382,Adventure,Night in the Woods (Weird Autumn Edition),PC,8.7
383,Adventure,Night in the Woods,PlayStation 4,8.7
384,Adventure,Night in the Woods,Linux,8.7
385,Adventure,Night in the Woods,Macintosh,8.7
386,Strategy,Halo Wars 2,Xbox One,7.0
387,Strategy,Halo Wars 2,PC,7.0
388,Action,Berserk and The Band of the Hawk,PlayStation 4,6.3
389,Adventure,Horizon: Zero Dawn,PlayStation 4,9.3
390,Action,For Honor,Xbox One,8.0
391,Action,For Honor,PC,8.0
392,Action,For Honor,PlayStation 4,8.0
393,Shooter,Sniper Elite 4,Xbox One,8.3
394,Shooter,Sniper Elite 4,PlayStation 4,8.3
395,"RPG, Strategy",Fire Emblem Heroes,iPhone,7.4
396,"RPG, Strategy",Fire Emblem Heroes,Android,7.4
397,Adventure,Divide,PlayStation 4,5.5
398,Action,Nioh,PlayStation 4,9.6
399,Action,Double Dragon IV,PlayStation 4,3.5
400,Platformer,Poochy and Yoshi's Woolly World,Nintendo 3DS,7.1
401,Hardware,HyperX Cloud II Gaming Headset,PC,9.5
402,Strategy,Urban Empire,PC,6.4
403,Hardware,"AOC G2460PQU 24"" Monitor",PC,8.0
404,Hardware,"LG 24GM77-B 24"" Monitor",PC,8.5
405,"Action, RPG",Kingdom Hearts HD II.8 -- Final Chapter Prologue,PlayStation 4,7.5
406,Hardware,ViewSonic XG2401 24” Monitor,PC,7.5
407,Hardware,"ASUS VG248QE 24"" Monitor",PC,8.3
408,RPG,Tales Of Berseria,PlayStation 4,8.8
409,"Action, Adventure",Resident Evil 7 Biohazard,Xbox One,7.7
410,"Action, Adventure",Resident Evil 7 Biohazard,PlayStation 4,7.7
411,"Action, Adventure",Resident Evil 7 Biohazard,PC,7.7
412,Action,Yakuza 0,PlayStation 4,8.5
413,Hardware,"Acer GN246HL Bbid 144 Hz 3D 24"" Monitor",PC,6.8
414,Hardware,Steelseries Rival 300,PC,8.2
415,RPG,Dragon Quest VIII: Journey of the Cursed King,Nintendo 3DS,8.8
416,Action,Gravity Rush 2,PlayStation 4,8.4
417,Hardware,Corsair M65 Gaming Mouse,PC,9.0
418,Hardware,G.Skill RipJaws MX780 Mouse,PC,8.0
419,Hardware,Razer DeathAdder Chroma Mouse,PC,9.0
420,Hardware,Logitech G502 Proteus Spectrum Mouse,PC,7.5
421,Racing,Forza Horizon 3: Blizzard Mountain,Xbox One,8.9
422,Racing,Forza Horizon 3: Blizzard Mountain,PC,8.9
423,Hardware,GeForce GTX 1060 Graphics Card,PC,8.9
424,Shooter,Space Hulk: Deathwing,PC,6.4
425,Hardware,Radeon RX 470 Graphics Card,PC,7.6
426,Platformer,Shantae: Half-Genie Hero,PlayStation 4,8.0
427,Platformer,Shantae: Half-Genie Hero,PlayStation Vita,8.0
428,Platformer,Shantae: Half-Genie Hero,Wii U,8.0
429,Adventure,"The Walking Dead: A New Frontier -- Episode 2: Ties That Bind, Part 2",PC,8.2
430,Adventure,"The Walking Dead: A New Frontier -- Episode 1: Ties That Bind, Part 1",PC,8.8
431,Hardware,Radeon RX 480 Graphics Card,PC,8.6
432,Hardware,GeForce GTX 1070 Graphics Card,PC,9.6
433,Board,Werewolves Within,PlayStation 4,6.0
434,Action,Let It Die,PlayStation 4,6.4
435,Strategy,Shadow Tactics: Blades of the Shogun,PC,8.2
436,Hardware,GeForce GTX 1080: Founders Edition Graphics Card,PC,9.4
437,Platformer,Super Mario Run,iPhone,8.0
438,Sports,Steep,PC,7.9
439,Sports,Steep,Xbox One,7.9
440,Sports,Steep,PlayStation 4,7.9
441,Action,The Unspoken,PC,8.0
442,Hardware,Oculus Touch,PC,9.0
443,Adventure,The Last Guardian,PlayStation 4,7.0
444,Action,Dead Rising 4,PC,8.1
445,Action,Dead Rising 4,Xbox One,8.1
446,"Strategy, RPG",The Dwarves,Xbox One,6.2
447,"Strategy, RPG",The Dwarves,PC,6.2
448,Platformer,Super Mario Maker,Nintendo 3DS,7.2
449,"Action, RPG",Final Fantasy XV,PlayStation 4,8.2
450,"Action, RPG",Final Fantasy XV,Xbox One,8.2
451,Simulation,Planet Coaster,PC,8.5
452,Action,Watch Dogs 2,PlayStation 4,8.5
453,Action,Watch Dogs 2,Xbox One,8.5
454,Shooter,Killing Floor 2,PlayStation 4,8.0
455,Action,Assassin's Creed: The Ezio Collection,PlayStation 4,6.0
456,Action,Assassin's Creed: The Ezio Collection,Xbox One,6.0
457,Adventure,Batman: The Telltale Series -- Episode 4: Guardian of Gotham,PC,6.5
458,Party,Mario Party: Star Rush,Nintendo 3DS,5.2
459,Action,Sword Art Online: Hollow Realization,PlayStation 4,6.7
460,RPG,Pokemon Moon Version,Nintendo 3DS,9.0
461,RPG,Pokemon Sun Version,Nintendo 3DS,9.0
462,Flight,Eagle Flight,PlayStation 4,7.6
463,Action,Dishonored 2,PlayStation 4,9.3
464,Action,Dishonored 2,PC,9.3
465,Action,Dishonored 2,Xbox One,9.3
466,Strategy,Ashes of the Singularity: Escalation,PC,8.1
467,RPG,Tyranny,PC,8.3
468,Adventure,Robinson: The Journey,PlayStation 4,5.5
469,Shooter,Call of Duty: Modern Warfare Remastered,Xbox One,8.5
470,Shooter,Call of Duty: Modern Warfare Remastered,PlayStation 4,8.5
471,Shooter,Call of Duty: Modern Warfare Remastered,PC,8.5
472,Shooter,Call of Duty: Infinite Warfare,PlayStation 4,7.7
473,Shooter,Call of Duty: Infinite Warfare,Xbox One,7.7
474,Shooter,Call of Duty: Infinite Warfare,PC,7.7
