,reviewd,name,platform,score
401,2017-03-28,The Walking Dead: A New Frontier: Above the Law,"Android,iPhone,PC,PS4,Xbox One",8
402,2017-03-28,Rain World,"Mac OS,PC,PS4,PSVita",5
403,2017-03-27,Hollow Knight,"Mac OS,PC,Switch,Wii-U",10
404,2017-03-27,Dark Souls III: The Ringed City,"PC,PS4,Xbox One",8.5
405,2017-03-24,Kona,"PC,PS4,Xbox One",8.5
406,2017-03-24,Has-Been Heroes,"PC,PS4,Switch,Xbox One",4.5
407,2017-03-23,Little Inferno,"Android,iPad,iPhone,Mac OS,PC,Switch,Wii-U",9
408,2017-03-22,Macbat 64,PC,6
409,2017-03-20,Everything,PS4,7
410,2017-03-20,Mass Effect: Andromeda,"PC,PS4,Wii-U,Xbox One",6.5
411,2017-03-18,I Am Setsuna,"PC,PS4,PSVita,Switch",7.5
412,2017-03-18,World of Goo,"Mac OS,PC,Switch,Wii",9.5
413,2017-03-17,Poi,"Mac OS,PC,PS4,Switch,Wii-U,Xbox One",8
414,2017-03-17,Ghost Recon Wildlands,"PC,PS4,Xbox One",2.5
415,2017-03-14,Styx: Shards of Darkness,"PC,PS4,Xbox One",7
416,2017-03-13,Bullet Soul,"PC,Xbox 360",8
417,2017-03-12,Dying: Reborn VR,PS4,4
418,2017-03-12,The Legend of Zelda: Breath of the Wild (Wii U),Wii-U,10
419,2017-03-10,Fast RMX,Switch,8.5
420,2017-03-10,Ghost Blade HD,"PC,PS4,Wii-U,Xbox One",6
421,2017-03-09,Just Dance 2017,Switch,6.5
422,2017-03-09,Blaster Master Zero,"3DS,Switch",8
423,2017-03-08,Ys Origin,"PC,PS4,PSVita",8.5
424,2017-03-07,"Snipperclips: Cut It Out, Together!",Switch,9
425,2017-03-07,1-2-Switch,Switch,4.5
426,2017-03-06,Diluvion,"Mac OS,PC",6.5
427,2017-03-05,Malicious Fallen,PS4,8
428,2017-03-03,Legend of the Skyfish,"Mac OS,PC",5.5
429,2017-03-03,Voez,"Android,iPhone,Switch",8.5
430,2017-03-02,Loot Rascals,"PC,PS4",8.5
431,2017-03-02,Shovel Knight: Specter of Torment,"3DS,PC,PS4,Switch,Wii-U,Xbox One",9.5
432,2017-03-02,The Legend of Zelda: Breath of the Wild,"PS4,Switch,Wii-U",10
433,2017-03-02,Super Bomberman R,Switch,7
434,2017-02-28,Story of Seasons: Trio of Towns,3DS,8
435,2017-02-28,Torment: Tides of Numenera,"Mac OS,PC,PS4,Xbox One",7.5
436,2017-02-27,Glittermitten Grove,PC,6
437,2017-02-27,Frog Fractions 2,"Mac OS,PC",4
438,2017-02-27,River City Ransom: Underground,"PC,PS4,PSVita",8.5
439,2017-02-26,Dexed,"PC,PS4",5
440,2017-02-25,Neo Atlas 1469,"PC,PSVita",7.5
441,2017-02-24,Tank Troopers,3DS,6
442,2017-02-23,Ride 2,"PS4,Xbox One",6
443,2017-02-23,For Honor,"PC,PS4,Xbox One",5.5
444,2017-02-21,Psychonauts in the Rhombus of Ruin,PS4,8.5
445,2017-02-21,Berserk and the Band of the Hawk,"PC,PS3,PS4,PSVita",8
446,2017-02-20,Horizon Zero Dawn,PS4,7.5
447,2017-02-18,Sniper Elite 4,"PC,PS4,Xbox One",8
448,2017-02-17,Circles,PC,7.5
449,2017-02-16,Halo Wars 2,"PC,Xbox One",7
450,2017-02-13,Disgaea 2 PC,"Mac OS,PC",8
451,2017-02-10,Dynasty Warriors Godseekers,"PS4,PSVita",5.5
452,2017-02-10,Dungeon Souls,PC,6
453,2017-02-10,Zen Pinball 2: Star Wars Pinball: Rogue One,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",6
454,2017-02-09,Bleed 2,PC,8.5
455,2017-02-09,We Are Chicago,"Mac OS,PC",3
456,2017-02-08,Resident Evil 7: Banned Footage Volume 1,"PC,PS4,Xbox One",8
457,2017-02-08,Fire Emblem Heroes,"3DS,Android,iPad,iPhone,Switch",8
458,2017-02-03,Divide,"PC,PS4",5.5
459,2017-02-02,Nioh,"PC,PS4",9
460,2017-02-01,Dragon Quest VIII: Journey of the Cursed King,"3DS,PS2",9
461,2017-02-01,Atelier Shallie Plus: Alchemists of the Dusk Sea,"PS3,PSVita",8.5
462,2017-02-01,Pokemon Duel,"Android,iPad,iPhone",6
463,2017-02-01,Tales of Berseria,"PC,PS3,PS4",8
464,2017-02-01,Poochy and Yoshi's Woolly World,3DS,7
465,2017-02-01,Candleman,Xbox One,7
466,2017-01-31,Call of Duty: Infinite Warfare: Sabotage,"PC,PS4,Xbox One",8
467,2017-01-31,Double Dragon IV,"PC,PS4,Switch",6
468,2017-01-30,Nefarioius,PC,5.5
469,2017-01-30,Power Rangers: Mega Battle,"PC,PS4,Xbox One",3.5
470,2017-01-29,Dandy Dungeon: Legend of Brave Yamada,Android,9.5
471,2017-01-26,The Descendant,PC,6.5
472,2017-01-23,Resident Evil 7,"PC,PS4,Xbox One",10
473,2017-01-23,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,7.5
474,2017-01-19,Yakuza 0,"PS3,PS4",9
475,2017-01-17,Fate/Extella: The Umbral Star,"PS4,PSVita,Switch",6
476,2017-01-12,Rise & Shine,"PC,Xbox One",4
477,2017-01-10,The Binding of Isaac: Afterbirth+,"PC,PS4,Switch,Xbox One",8.5
478,2017-01-10,Gravity Rush 2,PS4,9.5
479,2017-01-09,Hatsune Miku: Project Diva Future Tone,PS4,8.5
480,2017-01-06,HoPiKo,"Android,iPad,PC,PS4,Xbox One",8
481,2016-12-28,Space Hulk: Deathwing,"PC,PS4,Xbox One",5
482,2016-12-21,Planet Coaster,PC,7.5
483,2016-12-20,Super Mario Run,"Android,iPad,iPhone",6
484,2016-12-20,Shadow Tactics: Blades of the Shogun,"Mac OS,PC,PS4,Xbox One",8
485,2016-12-20,Bastion,"iPad,iPhone,Mac OS,PC,Placeholder,PS3,PS4,PSVita,Xbox 360,Xbox One",9
486,2016-12-20,The Walking Dead: A New Frontier: Ties That Bind,"Android,iPhone,PC,PS4,Xbox One",8.5
487,2016-12-17,Shantae: Half-Genie Hero,"PC,PS3,PS4,PSVita,Switch,Wii-U,Xbox 360,Xbox One",7.5
488,2016-12-15,Wild Guns Reloaded,"PC,PS4",8
489,2016-12-14,Forza Horizon 3 Blizzard Mountain,"PC,Xbox One",8.5
490,2016-12-13,The Little Acre,"PC,PS4,Xbox One",8
491,2016-12-13,Star Wars Battlefront: Rogue One: Scarif,"PC,PS4,Xbox One",7
492,2016-12-13,Super Mario Maker,"3DS,Wii-U",8
493,2016-12-13,Batman: A Telltale Games Series: City of Light,"PC,PS4,Xbox One",7.5
494,2016-12-12,Darksiders: Warmastered Edition,"PC,PS4,Wii-U,Xbox One",8.5
495,2016-12-10,Zen Pinball 2: Bethesda Pinball,"Android,iPad,Mac OS,PS3,PS4,Xbox One",7
496,2016-12-08,Werewolves Within,"PC,PS4",7
497,2016-12-08,Surgeon Simulator: Experience Reality,"PC,PS4",3
498,2016-12-07,Sword Art Online: Hollow Realization,"PS4,PSVita",7.5
499,2016-12-07,Demetrios: The Big Cynical Adventure,PSVita,5
500,2016-12-06,Let it Die,PS4,6
501,2016-12-06,Tyranny,PC,7
502,2016-12-06,Steep,"PC,PS4,Switch,Xbox One",6
503,2016-12-05,The Last Guardian,"PS3,PS4",8.5
504,2016-12-05,Dead Rising 4,"PC,PS4,Xbox One",7.5
505,2016-12-05,How We Soar,PS4,7
506,2016-12-05,I Expect You To Die,"PC,PS4",8
507,2016-12-04,Rad Rodgers: World One,"PC,PS4",6.5
508,2016-12-01,Maize,PC,5
509,2016-11-28,A King's Tale: Final Fantasy XV,"PS4,Xbox One",7
510,2016-11-28,Harvest Moon: Skytree Village,3DS,5
511,2016-11-28,Final Fantasy XV,"PC,PS3,PS4,Switch,Xbox One",9
512,2016-11-23,Dragon Ball Fusions,3DS,6
513,2016-11-23,Root Letter,"PS4,PSVita",6
514,2016-11-22,World of Final Fantasy,"PC,PS4,PSVita",7
515,2016-11-22,Steins;Gate 0,"PC,PS4,PSVita",8.5
516,2016-11-22,Batman: A Telltale Games Series: Guardian of Gotham,"PC,PS4,Xbox One",7.5
517,2016-11-21,The Unspoken,PC,7.5
518,2016-11-20,Xanadu Next,PC,8
519,2016-11-18,Killing Floor 2,"PC,PS4,Xbox One,Xbox One X",9
520,2016-11-16,Pokemon Sun,3DS,9
521,2016-11-15,Pokemon Moon,3DS,9
522,2016-11-14,Robinson: The Journey,"PC,PS4",6
523,2016-11-14,Dishonored 2,"PC,PS4,Xbox One",7.5
524,2016-11-14,Watch Dogs 2,"PC,PS4,Xbox One",
525,2016-11-13,Cartoon Network: Battle Crashers,"3DS,PS4,Xbox One",1.5
