,date,game,platform,score
401,2017-04-17,Wonder Boy: The Dragon's Trap,"PC,PS4,Switch,Xbox One",8.5
402,2017-04-17,Voodoo Vince Remastered,"PC,Xbox One",5
403,2017-04-17,Vroom in the Night Sky,Switch,1
404,2017-04-12,Mr. Shifty,"Mac OS,PC,PS4,Switch,Xbox One",6
405,2017-04-12,Starblood Arena,PS4,5.5
406,2017-04-11,Robo Recall,PC,8.5
407,2017-04-11,Drawn to Death,PS4,6
408,2017-04-10,Snake Pass,"PC,PS4,Switch,Xbox One",6
409,2017-04-10,The Sexy Brutale,"PC,PS4,Switch,Xbox One",8
410,2017-04-09,Use Your Words,"PC,PS4,Switch,Wii-U,Xbox One",3
411,2017-04-07,Troll and I,"PC,PS4,Switch,Xbox One",1
412,2017-04-07,Rivals of Aether,"PC,Xbox One",9
413,2017-04-06,Graceful Explosion Machine,Switch,7
414,2017-04-06,Bulletstorm: Full Clip Edition,"PC,PS4,Xbox One",7
415,2017-04-05,Paradigm,PC,9
416,2017-04-04,HackyZack,PC,7.5
417,2017-04-04,A Rose in the Twilight,PSVita,7.5
418,2017-04-04,Yooka-Laylee,"Mac OS,PC,PS4,Switch,Wii-U,Xbox One",8
419,2017-04-03,PaRappa the Rapper Remastered,PS4,5.5
420,2017-03-31,Mario Sports Superstars,3DS,5
421,2017-03-31,MLB The Show 17,PS4,8
422,2017-03-30,Digimon World: Next Order,"PS4,PSVita",8
423,2017-03-30,Night in the Woods,"Mac OS,PC,PS4,Xbox One",9.5
424,2017-03-30,Momodora: Reverie Under the Moonlight,"PC,PS4",8
425,2017-03-30,Toukiden 2,"PC,PS3,PS4,PSVita",9
426,2017-03-30,Thimbleweed Park,"Android,iPad,iPhone,Mac OS,PC,Switch,Xbox One",9
427,2017-03-29,Final Fantasy XV: Episode Gladiolus,"PS4,Xbox One",6
428,2017-03-29,Persona 5,"PS3,PS4,Switch",9
429,2017-03-28,The Walking Dead: A New Frontier: Above the Law,"Android,iPhone,PC,PS4,Xbox One",8
430,2017-03-28,Rain World,"Mac OS,PC,PS4,PSVita",5
431,2017-03-27,Hollow Knight,"Mac OS,PC,Switch,Wii-U",10
432,2017-03-27,Dark Souls III: The Ringed City,"PC,PS4,Xbox One",8.5
433,2017-03-24,Kona,"PC,PS4,Xbox One",8.5
434,2017-03-24,Has-Been Heroes,"PC,PS4,Switch,Xbox One",4.5
435,2017-03-23,Little Inferno,"Android,iPad,iPhone,Mac OS,PC,Switch,Wii-U",9
436,2017-03-22,Macbat 64,PC,6
437,2017-03-20,Everything,PS4,7
438,2017-03-20,Mass Effect: Andromeda,"PC,PS4,Wii-U,Xbox One",6.5
439,2017-03-18,I Am Setsuna,"PC,PS4,PSVita,Switch",7.5
440,2017-03-18,World of Goo,"Mac OS,PC,Switch,Wii",9.5
441,2017-03-17,Poi,"Mac OS,PC,PS4,Switch,Wii-U,Xbox One",8
442,2017-03-17,Ghost Recon Wildlands,"PC,PS4,Xbox One",2.5
443,2017-03-14,Styx: Shards of Darkness,"PC,PS4,Xbox One",7
444,2017-03-13,Bullet Soul,"PC,Xbox 360",8
445,2017-03-12,Dying: Reborn VR,PS4,4
446,2017-03-12,The Legend of Zelda: Breath of the Wild (Wii U),Wii-U,10
447,2017-03-10,Fast RMX,Switch,8.5
448,2017-03-10,Ghost Blade HD,"PC,PS4,Wii-U,Xbox One",6
449,2017-03-09,Just Dance 2017,Switch,6.5
450,2017-03-09,Blaster Master Zero,"3DS,Switch",8
451,2017-03-08,Ys Origin,"PC,PS4,PSVita,Xbox One",8.5
452,2017-03-07,"Snipperclips: Cut It Out, Together!",Switch,9
453,2017-03-07,1-2-Switch,Switch,4.5
454,2017-03-06,Diluvion,"Mac OS,PC",6.5
455,2017-03-05,Malicious Fallen,PS4,8
456,2017-03-03,Legend of the Skyfish,"Mac OS,PC",5.5
457,2017-03-03,Voez,"Android,iPhone,Switch",8.5
458,2017-03-02,Loot Rascals,"PC,PS4",8.5
459,2017-03-02,Shovel Knight: Specter of Torment,"3DS,PC,PS4,Switch,Wii-U,Xbox One",9.5
460,2017-03-02,The Legend of Zelda: Breath of the Wild,"PS4,Switch,Wii-U",10
461,2017-03-02,Super Bomberman R,Switch,7
462,2017-02-28,Story of Seasons: Trio of Towns,3DS,8
463,2017-02-28,Torment: Tides of Numenera,"Mac OS,PC,PS4,Xbox One",7.5
464,2017-02-27,Glittermitten Grove,PC,6
465,2017-02-27,Frog Fractions 2,"Mac OS,PC",4
466,2017-02-27,River City Ransom: Underground,"PC,PS4,PSVita",8.5
467,2017-02-26,Dexed,"PC,PS4",5
468,2017-02-25,Neo Atlas 1469,"PC,PSVita,Switch",7.5
469,2017-02-24,Tank Troopers,3DS,6
470,2017-02-23,Ride 2,"PS4,Xbox One",6
471,2017-02-23,For Honor,"PC,PS4,Xbox One",5.5
472,2017-02-21,Psychonauts in the Rhombus of Ruin,PS4,8.5
473,2017-02-21,Berserk and the Band of the Hawk,"PC,PS3,PS4,PSVita",8
474,2017-02-20,Horizon Zero Dawn,PS4,7.5
475,2017-02-18,Sniper Elite 4,"PC,PS4,Xbox One",8
476,2017-02-17,Circles,PC,7.5
477,2017-02-16,Halo Wars 2,"PC,Xbox One",7
478,2017-02-13,Disgaea 2 PC,"Mac OS,PC",8
479,2017-02-10,Dynasty Warriors Godseekers,"PS4,PSVita",5.5
480,2017-02-10,Dungeon Souls,PC,6
481,2017-02-10,Zen Pinball 2: Star Wars Pinball: Rogue One,"Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",6
482,2017-02-09,Bleed 2,PC,8.5
483,2017-02-09,We Are Chicago,"Mac OS,PC",3
484,2017-02-08,Resident Evil 7: Banned Footage Volume 1,"PC,PS4,Xbox One",8
485,2017-02-08,Fire Emblem Heroes,"3DS,Android,iPad,iPhone,Switch",8
486,2017-02-03,Divide,"PC,PS4",5.5
487,2017-02-02,Nioh,"PC,PS4",9
488,2017-02-01,Dragon Quest VIII: Journey of the Cursed King,"3DS,PS2",9
489,2017-02-01,Atelier Shallie Plus: Alchemists of the Dusk Sea,"PS3,PSVita",8.5
490,2017-02-01,Pokemon Duel,"Android,iPad,iPhone",6
491,2017-02-01,Tales of Berseria,"PC,PS3,PS4",8
492,2017-02-01,Poochy and Yoshi's Woolly World,3DS,7
493,2017-02-01,Candleman,Xbox One,7
494,2017-01-31,Call of Duty: Infinite Warfare: Sabotage,"PC,PS4,Xbox One",8
495,2017-01-31,Double Dragon IV,"PC,PS4,Switch",6
496,2017-01-30,Nefarioius,PC,5.5
497,2017-01-30,Power Rangers: Mega Battle,"PC,PS4,Xbox One",3.5
498,2017-01-29,Dandy Dungeon: Legend of Brave Yamada,Android,9.5
499,2017-01-26,The Descendant,PC,6.5
500,2017-01-23,Resident Evil 7,"PC,PS4,Xbox One",10
501,2017-01-23,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,7.5
502,2017-01-19,Yakuza 0,"PS3,PS4",9
503,2017-01-17,Fate/Extella: The Umbral Star,"PS4,PSVita,Switch",6
504,2017-01-12,Rise & Shine,"PC,Xbox One",4
505,2017-01-10,The Binding of Isaac: Afterbirth+,"PC,PS4,Switch,Xbox One",8.5
506,2017-01-10,Gravity Rush 2,PS4,9.5
507,2017-01-09,Hatsune Miku: Project Diva Future Tone,PS4,8.5
508,2017-01-06,HoPiKo,"Android,iPad,PC,PS4,Xbox One",8
509,2016-12-28,Space Hulk: Deathwing,"PC,PS4,Xbox One",5
510,2016-12-21,Planet Coaster,PC,7.5
511,2016-12-20,Super Mario Run,"Android,iPad,iPhone",6
512,2016-12-20,Shadow Tactics: Blades of the Shogun,"Mac OS,PC,PS4,Xbox One",8
513,2016-12-20,Bastion,"iPad,iPhone,Mac OS,PC,Placeholder,PS3,PS4,PSVita,Xbox 360,Xbox One",9
514,2016-12-20,The Walking Dead: A New Frontier: Ties That Bind,"Android,iPhone,PC,PS4,Xbox One",8.5
515,2016-12-17,Shantae: Half-Genie Hero,"PC,PS3,PS4,PSVita,Switch,Wii-U,Xbox 360,Xbox One",7.5
516,2016-12-15,Wild Guns Reloaded,"PC,PS4,Switch",8
517,2016-12-14,Forza Horizon 3 Blizzard Mountain,"PC,Xbox One",8.5
518,2016-12-13,The Little Acre,"PC,PS4,Xbox One",8
519,2016-12-13,Star Wars Battlefront: Rogue One: Scarif,"PC,PS4,Xbox One",7
520,2016-12-13,Super Mario Maker,"3DS,Wii-U",8
521,2016-12-13,Batman: A Telltale Games Series: City of Light,"PC,PS4,Xbox One",7.5
522,2016-12-12,Darksiders: Warmastered Edition,"PC,PS4,Wii-U,Xbox One",8.5
523,2016-12-10,Zen Pinball 2: Bethesda Pinball,"Android,iPad,Mac OS,PS3,PS4,Xbox One",7
524,2016-12-08,Werewolves Within,"PC,PS4",7
525,2016-12-08,Surgeon Simulator: Experience Reality,"PC,PS4",3
526,2016-12-07,Sword Art Online: Hollow Realization,"PS4,PSVita",7.5
527,2016-12-07,Demetrios: The Big Cynical Adventure,PSVita,5
528,2016-12-06,Let it Die,PS4,6
529,2016-12-06,Tyranny,PC,7
530,2016-12-06,Steep,"PC,PS4,Switch,Xbox One",6
531,2016-12-05,The Last Guardian,"PS3,PS4",8.5
532,2016-12-05,Dead Rising 4,"PC,PS4,Xbox One",7.5
533,2016-12-05,How We Soar,PS4,7
534,2016-12-05,I Expect You To Die,"PC,PS4",8
535,2016-12-04,Rad Rodgers: World One,"PC,PS4",6.5
536,2016-12-01,Maize,PC,5
537,2016-11-28,A King's Tale: Final Fantasy XV,"PS4,Xbox One",7
538,2016-11-28,Harvest Moon: Skytree Village,3DS,5
539,2016-11-28,Final Fantasy XV,"PC,PS3,PS4,Switch,Xbox One",9
540,2016-11-23,Dragon Ball Fusions,3DS,6
541,2016-11-23,Root Letter,"PS4,PSVita",6
542,2016-11-22,World of Final Fantasy,"PC,PS4,PSVita",7
543,2016-11-22,Steins;Gate 0,"PC,PS4,PSVita",8.5
544,2016-11-22,Batman: A Telltale Games Series: Guardian of Gotham,"PC,PS4,Xbox One",7.5
545,2016-11-21,The Unspoken,PC,7.5
546,2016-11-20,Xanadu Next,PC,8
547,2016-11-18,Killing Floor 2,"PC,PS4,Xbox One,Xbox One X",9
548,2016-11-16,Pokemon Sun,3DS,9
549,2016-11-15,Pokemon Moon,3DS,9
550,2016-11-14,Robinson: The Journey,"PC,PS4",6
551,2016-11-14,Dishonored 2,"PC,PS4,Xbox One",7.5
552,2016-11-14,Watch Dogs 2,"PC,PS4,Xbox One",
553,2016-11-13,Cartoon Network: Battle Crashers,"3DS,PS4,Xbox One",1.5
554,2016-11-12,Senran Kagura Bon Appétit! - Full Course,PC,7
555,2016-11-11,Mario Party Star Rush,3DS,5.5
556,2016-11-10,Disney Magical World 2,3DS,7.5
557,2016-11-10,Super Rad Raygun,PC,7
558,2016-11-07,Call of Duty: Modern Warfare Remastered,"PC,PS4,Xbox One",8
559,2016-11-05,Exile's End,"PC,PS4,PSVita",5
560,2016-11-03,Call of Duty: Infinite Warfare,"PC,PS4,Xbox One",7
561,2016-11-03,Elder Scrolls V: Skyrim: Special Edition,"PC,PS4,Switch,Xbox One",7.5
562,2016-11-01,Small Radios Big Televisions,PC,8.5
563,2016-11-01,Titanfall 2,"PC,PS4,Xbox One",8.5
564,2016-10-31,Halloween Forever,PC,7.5
565,2016-10-31,BlazBlue: Central Fiction,"PC,PS3,PS4",8.5
566,2016-10-31,Hitman: Japan,"PC,PS4,Xbox One",8
567,2016-10-30,Dragon Ball XenoVerse 2,"PC,PS4,Switch,Xbox One",7.5
568,2016-10-30,Valkyrie Drive: Bhikkhuni,"PC,PSVita",6.5
569,2016-10-27,Earth's Dawn,"PC,PS4,Xbox One",6
570,2016-10-27,Owlboy,"PC,PS4,Switch,Xbox 360,Xbox One",10
571,2016-10-26,Batman: A Telltale Games Series: New World Order,"PC,PS4,Wii-U,Xbox One",7
572,2016-10-25,King's Quest: The Good Knight,"PC,PS3,PS4,Xbox 360,Xbox One",8.5
573,2016-10-25,Civilization VI,"iPad,Mac OS,PC",8.5
574,2016-10-25,Corpse Party,"3DS,PC,PSP",9
575,2016-10-21,Battlefield 1,"PC,PS4,Xbox One",8
576,2016-10-21,WWE 2K17,"PC,PS3,PS4,Xbox 360,Xbox One",3
577,2016-10-20,BattleZone,"PC,PS4,PSP",7
578,2016-10-20,Touhou: Scarlet Curiosity,PS4,2.5
579,2016-10-20,Skylanders Imaginators,"PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
580,2016-10-20,Dark Souls III: Ashes of Ariandel,"PC,PS4,Xbox One",7
581,2016-10-19,Tumble VR,PS4,6
582,2016-10-19,GoNNER,"Mac OS,PC,Switch",9.5
583,2016-10-19,Pirate Pop Plus,"3DS,PC,Wii-U",3
584,2016-10-18,Chase: Cold Case Investigations ~Distant Memories~,3DS,7
585,2016-10-18,Eagle Flight,"PC,PS4",7.5
586,2016-10-18,Job Simulator,"PC,PS4",7.5
587,2016-10-18,Yomawari: Night Alone,"PC,PSVita",8
588,2016-10-18,Rock Band Rivals,"PS4,Xbox One",8
589,2016-10-18,Mafia III,"PC,PS4,Xbox One",5
590,2016-10-17,The Jackbox Party Pack 3,"PC,PS4,Switch,Xbox One",9
591,2016-10-17,Headmaster,PS4,7
592,2016-10-17,100ft Robot Golf,PS4,4
593,2016-10-16,Battleborn,"PC,PS3,PS4,Xbox One",6
594,2016-10-16,Battleborn: Attikus and the Thrall Rebellion,"PC,PS4,Xbox One",7
595,2016-10-14,Shadow Warrior 2,"PC,PS4,Xbox One",7
596,2016-10-14,Damaged Core,PC,6
597,2016-10-13,Final Fantasy XIV: Heavensward,"Mac OS,PC,PS3,PS4,PSVita",9
598,2016-10-13,Final Fantasy XIV: Heavensward: Soul Surrender,PS4,7.5
599,2016-10-13,DoDonPachi Resurrection,PC,9
600,2016-10-12,Rez Infinite,"PC,PS4",9.5
601,2016-10-12,Here They Lie,PS4,6
602,2016-10-12,RIGS: Mechanized Combat League,PS4,8.5
603,2016-10-11,Gears of War 4,"PC,Xbox One",8
604,2016-10-11,Duke Nukem 3D: 20th Anniversary Edition World Tour,"PC,PS4,Xbox One",8.5
605,2016-10-10,Five Nights at Freddy's Sister Location,PC,6
606,2016-10-09,Tokyo Twilight Ghost Hunters: Daybreak Special Gigs,"PS3,PS4,PSVita",7.5
607,2016-10-09,THUMPER,"PC,PS1,PS4,Switch,Xbox One",8
608,2016-10-07,Paper Mario: Color Splash,Wii-U,8.5
609,2016-10-07,Dragon Quest Builders,"PS3,PS4,PSVita,Switch",9
610,2016-10-05,Harmonix Music VR,"PC,PS4",5
611,2016-10-05,Until Dawn: Rush of Blood,PS4,7.5
612,2016-10-05,SuperHyperCube,"PC,PS4",7
613,2016-10-05,Batman: Arkham VR,"PC,PS4",6.5
614,2016-10-05,PlayStation VR Worlds,PS4,5
615,2016-10-04,Demon Truck,PC,6.5
616,2016-10-04,Aragami,"PC,PS4,Xbox One",7
617,2016-10-03,Yo-Kai Watch 2: Fleshy Souls,3DS,7
618,2016-10-02,Gotta Protectors,3DS,9
619,2016-10-01,Clustertruck,"Mac OS,PC,PS4,Xbox One",7.5
620,2016-09-29,star trek online,"PC,PS4,Xbox One",7.5
621,2016-09-29,Payday 2: The Big Score,"PS4,Xbox One",6
622,2016-09-29,King's Quest: Snow Place Like Home,"PC,PS4,Xbox One",9
623,2016-09-29,Azure Striker Gunvolt 2,3DS,8.5
624,2016-09-28,Overcooked,"PC,PS4,Xbox One",8.5
625,2016-09-28,Yo-Kai Watch 2: Bony Spirits,3DS,8.5
626,2016-09-27,Hitman,"PC,PS4,Xbox One",7
627,2016-09-27,Hitman: Colorado,"PC,PS4,Xbox One",6
628,2016-09-27,Forza Horizon 3,"PC,Xbox One",9
629,2016-09-27,Sonic Boom: Fire & Ice,3DS,7
630,2016-09-26,Star Wars Battlefront: Death Star,"PC,PS4,Xbox One",6.5
631,2016-09-26,River City: Tokyo Rumble,3DS,7
632,2016-09-23,Destiny: Rise of Iron,"PS4,Xbox One",7
633,2016-09-22,The Bunker,"PC,PS4,Xbox One",7
634,2016-09-22,Psycho-Pass: Mandatory Happiness,"PC,PS4,PSVita,Xbox One",7.5
635,2016-09-22,Virginia,PC,3
636,2016-09-21,Rive,"PC,PS4,Switch,Wii-U",7
637,2016-09-20,Dear Esther: Landmark Edition,"PS4,Xbox One",4.5
638,2016-09-20,Batman: A Telltale Games Series: Children of Arkham,"PC,PS4,Xbox One",7
639,2016-09-15,Shin Megami Tensei IV: Apocalypse,3DS,8.5
640,2016-09-15,Noitu Love: Devolution,"3DS,PC,Wii-U",9
641,2016-09-14,Feral Rites,PC,5.5
642,2016-09-14,World of Warcraft: Legion,PC,9
643,2016-09-14,Event[0],PC,9
644,2016-09-13,Dead Rising 2: Off the Record,"PC,PS3,PS4,Xbox 360,Xbox One",7.5
645,2016-09-13,Dead Rising 2,"PC,PS3,PS4,Xbox 360,Xbox One",8
646,2016-09-13,Dead Rising,"PC,PS4,Xbox 360,Xbox One",8
647,2016-09-13,MeiQ: Labyrinth of Death,PSVita,6
648,2016-09-13,Dragon Quest VII: Fragments of the Forgotten Past,3DS,8.5
649,2016-09-12,Madden 17,"PS3,PS4,Xbox 360,Xbox One",7.5
650,2016-09-12,Pac-Man Championship Edition 2,"PC,PS4,Xbox One",7.5
651,2016-09-12,Recore,"PC,Xbox One",4
652,2016-09-11,Tahira: Echoes of the Astral Empire,PC,6.5
653,2016-09-09,Picross 3D Round 2,3DS,8.5
654,2016-09-08,NHL 17,"PS4,Xbox One",8
655,2016-09-08,Champions of Anteria,PC,7.5
656,2016-09-08,Phoenix Wright: Ace Attorney - Spirit of Justice,"3DS,Android,iPhone",9
657,2016-09-07,Strike Vector EX,"PC,PS4",7
658,2016-09-06,Call of Duty: Black Ops III,"PC,PS3,PS4,Xbox 360,Xbox One",8.5
659,2016-09-06,Call of Duty: Black Ops III: Salvation,"PS4,Xbox One",7.5
660,2016-09-06,Hearthstone: One Night in Karazhan,"Android,iPhone,PC",7
661,2016-09-05,God Eater 2: Rage Burst,"PC,PS4,PSVita",8
662,2016-09-05,Mother Russia Bleeds,"Mac OS,PC,PS4",9
663,2016-09-04,Fallout 4: Nuka-World,"PC,PS4,Xbox One",6
664,2016-08-30,The Final Station,"PC,PS4,Xbox One",8
665,2016-08-29,Assetto Corsa,"PC,PS4,Xbox One",4
666,2016-08-29,Hue,"PC,PS3,PS4,PSVita,Wii-U,Xbox One",8
667,2016-08-26,Hatsune Miku: Project Diva X,"PS4,PSVita",9
668,2016-08-26,Attack on Titan,"3DS,Keyboard,PC,PS3,PS4,PSVita",8
669,2016-08-24,Obduction,"Mac OS,PC,PS4",9
670,2016-08-22,Alone With You,"PC,PS4,PSVita",8
671,2016-08-22,King of Fighters XIV,"PC,PS4",8
672,2016-08-22,Worms W.M.D,"PC,PS4,Switch,Xbox One",7
673,2016-08-21,Style Savvy: Fashion Forward,3DS,6.5
674,2016-08-19,Deus Ex: Mankind Divided,"PC,PS4,Xbox One",8
675,2016-08-18,Metroid Prime: Federation Force,3DS,5.5
676,2016-08-18,Deus Ex GO,"Android,iPad,iPhone",8
677,2016-08-18,Okhlos,"Mac OS,PC",6
678,2016-08-17,Grow Up,"PC,PS4,Xbox One",7
679,2016-08-16,UNO,"PC,PS4,Xbox One",2.5
680,2016-08-16,Hitman: Bangkok,"PC,PS4,Xbox One",6.5
681,2016-08-16,Inversus,"PC,PS4",9.5
682,2016-08-15,Bound,PS4,6
683,2016-08-14,Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,PSVita,8
684,2016-08-12,Just Cause 3,"PC,PS4,Xbox One",8
685,2016-08-12,Just Cause 3: Bavarium Sea Heist,"PC,PS4,Xbox One",3
686,2016-08-12,CASE: Animatronics,PC,2
687,2016-08-11,Brutal,PS4,5
688,2016-08-11,No Man's Sky,"PC,Placeholder,PS4",7
689,2016-08-11,Blade Ballet,"PC,PS4",6
690,2016-08-10,Tadpole Treble,Wii-U,8
691,2016-08-08,Everest VR,PC,3.5
692,2016-08-06,Kentucky Route Zero: Act IV,PC,10
693,2016-08-06,Human: Fall Flat,"PC,PS4,Switch,Xbox One",8
694,2016-08-05,Kentucky Route Zero: Act III,"Mac OS,PC",9
695,2016-08-05,Kill Strain,PS4,6
696,2016-08-03,Adventures of Mana,"Android,iPad,iPhone,PSVita",5
697,2016-08-02,Batman: A Telltale Games Series: Realm of Shadows,"PC,PS3,PS4,Xbox 360,Xbox One",7
698,2016-08-02,Abzu,"PC,PS4,Xbox One",7
699,2016-08-02,Starcraft II: Legacy of the Void,"Mac OS,PC",
700,2016-08-02,,,
701,2016-08-02,Death Road to Canada,"Mac OS,PC,PS4,Switch,Xbox One",8
702,2016-07-31,Romance of the Three Kingdoms XIII,"PC,PS3,PS4",7.5
703,2016-07-30,Grand Kingdom,"PS3,PS4,PSVita",7
704,2016-07-29,Chambara,PS4,7.5
705,2016-07-29,Fallout 4: Vault-Tec Workshop,"PC,PS4,Xbox One",6
706,2016-07-27,This is the Police,PC,4
707,2016-07-26,Ghostbusters,"PC,PS4,Xbox One",2
708,2016-07-26,Tumblestone,"PC,PS4,Wii-U,Xbox One",8.5
709,2016-07-26,Fairy Fencer F: Advent Dark Force,PS4,7
710,2016-07-25,Quadrilateral Cowboy,"Mac OS,PC",9
711,2016-07-25,Headlander,"PC,PS4",4.5
712,2016-07-24,Hawken,"PC,PS4,Xbox One",4.5
713,2016-07-24,Epistory - Typing Chronicles,"Mac OS,PC",8
714,2016-07-22,Gal Gun: Double Peace,"PS4,PSVita",7.5
715,2016-07-21,God Eater Resurrection,"PS4,PSVita",8
716,2016-07-13,Energy Hook,"Mac OS,PC,PS4,PSVita",3
717,2016-07-12,Pokemon Go,"Android,iPad,iPhone",3.5
718,2016-07-12,Call of Duty: Black Ops III: Descent,"PS4,Xbox One",6
719,2016-07-12,Necropolis,"Mac OS,PC,PS4,Xbox One",7
720,2016-07-12,Videoball,"Mac OS,PC,PS4,Xbox One",9
721,2016-07-12,FRU,Xbox One,9.5
722,2016-07-12,Monster Hunter Generations,3DS,9.5
723,2016-07-11,7 Days to Die,"PC,PS4,Xbox One",3
724,2016-07-11,JoJo's Bizarre Adventure: Eyes of Heaven,"PS3,PS4",4.5
725,2016-07-09,Dark Fear,"Android,iPad,iPhone,PC",6
726,2016-07-08,Song of the Deep,"PC,PS4,Xbox One",7
727,2016-07-07,7th Dragon III Code: VFD,3DS,7
728,2016-07-05,Furi,"PC,PS4,Switch,Xbox One",7.5
729,2016-07-05,The Battle Cats POP!,3DS,7
730,2016-07-04,Brigador,PC,8
731,2016-07-03,Street Fighter V: A Shadow Falls,"PC,PS4",4
732,2016-07-03,BoxBoxBoy!,3DS,7.5
733,2016-06-30,Star Wars Battlefront: Bespin,"PC,PS4,Xbox One",7.5
734,2016-06-30,Inside,"iPad,iPhone,PC,PS4,Switch,Xbox One",9.5
735,2016-06-29,LEGO Star Wars: The Force Awakens,"3DS,PC,PS3,PS4,PSVita,Wii-U,Xbox 360,Xbox One",7
736,2016-06-28,Rhythm Heaven Megamix,3DS,9
737,2016-06-28,Drawful 2,"PC,PS4,Xbox One",8
738,2016-06-28,Star Ocean: Integrity and Faithlessness,"PS3,PS4",6
739,2016-06-27,Ellipsis,"Android,iPad,iPhone",5
740,2016-06-25,Umbrella Corps,"PC,PS4,Xbox One",3
741,2016-06-25,Heart & Slash,"PC,PS4,Xbox One",8
742,2016-06-24,Pac-Man 256,"Android,iPad,iPhone,PC,PS4,Xbox One",7
743,2016-06-24,Asemblance,"PC,PS4",4.5
744,2016-06-24,Fallout 4: Contraption Workshop,"PC,PS4,Xbox One",4
745,2016-06-23,VA-11 HALL-A,"Mac OS,PC,PSVita",9
746,2016-06-23,Zero Time Dilemma,"3DS,PC,PS4,PSVita",9.5
747,2016-06-22,Trials of the Blood Dragon,"PC,PS4,Xbox One",4
748,2016-06-22,Tokyo Mirage Sessions #FE,Wii-U,8
749,2016-06-22,Tokyo Mirage Sessions FE,Wii-U,8
750,2016-06-20,Mighty No. 9,"3DS,Mac OS,PC,PS3,PS4,PSVita,Wii-U,Xbox 360,Xbox One",6.5
751,2016-06-19,One Piece: Burning Blood,"PC,PS4,PSVita,Xbox One",5.5
752,2016-06-15,Forced Showdown,PC,5.5
753,2016-06-11,Just Cause 3: Mech Land Assault,"PC,PS4,Xbox One",3.5
754,2016-06-10,Dangerous Golf,"PC,PS4,Xbox One",3
755,2016-06-10,Kirby: Planet Robobot,"3DS,Wii-U",7
756,2016-06-10,Anima: Gate of Memories,"PC,PS4,Xbox One",8
757,2016-06-08,Odin Sphere Leifthrasir,"PS3,PS4,PSVita",9.5
758,2016-06-08,Mirror's Edge Catalyst,"PC,PS4,Xbox One",8.5
759,2016-06-07,Guilty Gear Xrd Revelator,"PS3,PS4",8
760,2016-06-06,Edge of Nowhere,PC,6.5
761,2016-06-06,Hitman: Marrakesh,"PC,PS4,Xbox One",7
762,2016-06-05,Dungeons 2,"PC,PS4",4.5
763,2016-06-02,"Please, Don't Touch Anything","Android,PC",9
764,2016-06-01,Raiden V,Xbox One,7.5
765,2016-06-01,TurnOn,"PC,Xbox One",5.5
766,2016-05-31,TASTEE: Lethal Tactics,PC,7
767,2016-05-31,The Witcher 3: Wild Hunt - Blood and Wine,"PC,PS4,Xbox One",9
768,2016-05-31,The Town of Light,"Mac OS,PC",6.5
769,2016-05-30,The Banner Saga 2,"Mac OS,PC,PS4,Xbox One",8.5
770,2016-05-25,Teenage Mutant Ninja Turtles: Mutants in Manhattan,"PC,PS3,PS4,Xbox 360,Xbox One",4.5
771,2016-05-24,Total War: Warhammer,PC,8
772,2016-05-24,Overwatch,"PC,PS4,Xbox One",10
773,2016-05-24,Fallout 4: Far Harbor,"PC,PS4,Xbox One",5
774,2016-05-19,Time Machine VR,PC,7
775,2016-05-19,Battlezone 98 Redux,PC,5
776,2016-05-19,Langrisser Re:Incarnation Tensei,3DS,1.5
777,2016-05-18,The Gallery - Episode 1: The Call of Starseed,"PC,PS4",9
778,2016-05-17,Valkyria Chronicles Remastered,PS4,8
779,2016-05-17,Shadwen,"PC,PS4",4
780,2016-05-16,Back in 1995,"3DS,PC",4
781,2016-05-14,The Witcher 3: Wild Hunt - Hearts of Stone,"PC,PS4,Xbox One",8.5
782,2016-05-13,Knee Deep,"Mac OS,PC",7
783,2016-05-11,Bejeweled Stars,"Android,iPad,iPhone",6
784,2016-05-11,MegaTagmension Blanc + Neptune VS Zombies,PSVita,6
785,2016-05-11,Audioshield,PC,9.5
786,2016-05-10,Uncharted 4: A Thief's End,PS4,9.5
787,2016-05-10,Rocketbirds 2: Evolution,"PS4,PSVita",5
788,2016-05-09,Stellaris,PC,9
789,2016-05-07,Melty Blood Actress Again Current Code,PC,8
790,2016-05-06,Kathy Rain,"Android,iPad,PC",9
791,2016-05-05,Pocket Card Jockey,3DS,9.5
792,2016-05-04,Bazaar,PC,5.5
793,2016-05-03,Fragments of Him,PC,4
794,2016-05-03,Push Me Pull You,"Mac OS,PC,PS4",6.5
795,2016-05-02,Chronos,PC,7.5
796,2016-05-02,The Climb,PC,8
797,2016-05-01,Ray Gigant,PSVita,7
798,2016-04-30,Hitman: Sapienza,"PC,PS4,Xbox One",8
799,2016-04-29,Soda Drinker Pro,Xbox One,3.5
800,2016-04-27,King's Quest: Once Upon a Climb,"PC,PS4,Xbox One",9
801,2016-04-26,Stories: The Path of Destinies,"PC,PS4",7.5
802,2016-04-26,Koi,PS4,3
803,2016-04-26,Severed,"3DS,iPad,iPhone,PS4,PSVita,Switch,Wii-U",9.5
