,date,game,platform,score
90,2017-12-10,7 Wonders,iPad,7.5
91,2017-12-09,,,
92,2017-12-09,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,7.5
93,2017-12-08,Slain: Back from Hell,"PC,PS4,PSVita,Switch,Xbox One",2.5
94,2017-12-07,Puzzle Fighter,"Android,iPad,iPhone",7.5
95,2017-12-07,Wuppo,"PC,PS4,Xbox One",5
96,2017-12-07,Tokaido,PC,8
97,2017-12-06,Destiny 2,"PC,PS4,Xbox One",7.5
98,2017-12-06,Destiny 2: Curse of Osiris,"PC,PS4,Xbox One",5
99,2017-12-01,Carcassonne - Tiles & Tactics,PC,7.5
100,2017-11-30,Xenoblade Chronicles 2,Switch,8
101,2017-11-30,Pokemon Ultra Sun,3DS,8.5
102,2017-11-29,Battlerite,"PC,Xbox One",7.5
103,2017-11-28,Mario Party: The Top 100,3DS,5
104,2017-11-25,The Punisher,"Film or TV,PS2",6
105,2017-11-22,Animal Crossing: Pocket Camp,"Android,iPad,iPhone",7.5
106,2017-11-22,South Park Phone Destroyer,"Android,iPad,iPhone",6
107,2017-11-21,Battle Chef Brigade,"Mac OS,PC,Switch",8
108,2017-11-20,Batman: The Enemy Within: The Fractured Mask,"Android,iPhone,PC,PS4,Xbox One",5
109,2017-11-20,School Girl/Zombie Hunter,PS4,7
110,2017-11-20,Star Wars Battlefront II,"PC,PS4,Xbox One",5
111,2017-11-20,Monster of the Deep: Final Fantasy XV,PS4,7
112,2017-11-18,Destiny 2 (PC),"PC,PS4,Xbox One",6.5
113,2017-11-17,Sphinx and the Cursed Mummy,"Mac OS,PC,PS2",6.5
114,2017-11-16,.hack//G.U. Last Recode,"PC,PS4",5.5
115,2017-11-15,L.A. Noire (Switch),Switch,8
116,2017-11-14,Pokemon Ultra Moon,3DS,8.5
117,2017-11-14,LEGO Marvel Super Heroes 2,"PC,PS4,Switch,Xbox One",7
118,2017-11-14,Need for Speed Payback,"PC,PS4,Xbox One,Xbox One X",3
119,2017-11-13,Super Beat Sports,Switch,5
120,2017-11-11,"Snipperclips: Cut It Out, Together! DLC",Switch,8.5
121,2017-11-09,Doom,"PC,PS1,PS4,Switch,Xbox 360,Xbox One",9
122,2017-11-09,Doom (Switch),Switch,8
