,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,"Vicarious Visions, Edge of Reality, Amaze Entertainment","3D, Action, Platformer",DreamWorks Shark Tale,"Game Boy Advance,GameCube,PC,PlayStation 2,Xbox","Activision, Taito Corporation",2004-09-27,2004-10-12,7,6.3
1,"Vicarious Visions, Edge of Reality, Amaze Entertainment","Platformer, 3D, Action",DreamWorks Shark Tale,"Game Boy Advance,GameCube,PC,PlayStation 2,Xbox","Activision, Taito Corporation",2004-09-27,2004-10-12,7,6.3
2,"Mass Media, Full Fat, Namco",Action,Ms. Pac-Man Maze Madness,"Dreamcast,Game Boy Advance,Nintendo 64,PlayStation","Namco, Zoo Digital Publishing, Bandai Namco Games, SCEE",2000-09-08,2004-10-12,6.5,6.8
3,Capcom,"Action, Adventure",Under the Skin,PlayStation 2,Capcom,2004-10-12,2004-10-11,6.1,7.3
4,"Vicarious Visions, Neversoft Entertainment, Shaba Games","Skateboarding/Skating, Sports",Tony Hawk's Underground 2 Remix,"Game Boy Advance,GameCube,Mobile,PC,PlayStation 2,PSP,Xbox","Activision, Jamdat Mobile, ak tronic",2004-10-04,2004-10-11,8.2,8.4
5,Backbone Entertainment,Compilation,Midway Arcade Treasures 2,"GameCube,PlayStation 2,Xbox",Midway,2004-10-11,2004-10-11,7.2,7.7
6,Backbone Entertainment,Compilation,Midway Arcade Treasures 2,"GameCube,PlayStation 2,Xbox",Midway,2004-10-11,2004-10-11,7.2,7.7
7,Backbone Entertainment,Compilation,Midway Arcade Treasures 2,"GameCube,PlayStation 2,Xbox",Midway,2004-10-11,2004-10-11,7.2,7.7
8,"Playmore, SNK Playmore","Action, Fighting, 2D",SVC Chaos: SNK vs. Capcom,"Arcade Games,NeoGeo,PlayStation 2,Xbox","Sun Amusement, SNK Playmore, Ignition Entertainment",2003-11-14,2004-10-11,6.3,7.2
9,Artificial Mind and Movement,Music/Rhythm,Get On Da Mic,PlayStation 2,Eidos Interactive,2004-10-05,2004-10-11,4.2,5.7
10,Intelligent Systems,Role-Playing,Paper Mario: The Thousand-Year Door,GameCube,Nintendo,2004-10-11,2004-10-11,9.2,9.1
11,Strategic Studies Group,"Strategy, Turn-Based",Battles in Normandy,PC,Matrix Games,2004-09-13,2004-10-08,8.4,8
12,Frogwares,Adventure,Sherlock Holmes: The Silver Earring,PC,"Focus Home Interactive, Digital Jesters, Ubisoft, Dreamcatcher, Peter Games",2004-09-28,2004-10-08,7.3,7.6
13,Cybiko,"Simulation, Driving/Racing",IF Racing 2,Mobile,In-Fusio,2004-09-18,2004-10-08,6,7.1
14,"Codemasters, Sumo Digital","Simulation, Driving/Racing",TOCA Race Driver 2: The Ultimate Racing Simulator,"PC,PlayStation 2,PSP,Xbox","Codemasters, Shall Luck Plus, Interchannel, Atari SA",2004-04-13,2004-10-08,8.2,8.3
15,"Velez & Dubail, Etranges Libellules","3D, Action, Beat-'Em-Up",Asterix & Obelix: Kick Buttix,"Game Boy Advance,GameCube,PC,PlayStation 2","Atari SA, ak tronic",2004-09-14,2004-10-07,5.4,7.2
16,ATLUS,Role-Playing,Shin Megami Tensei: Nocturne,PlayStation 2,"Ghostlight, ATLUS, SCEA",2004-10-12,2004-10-07,8.5,8.9
17,"GlobalFun, Chronic Logic","Platformer, 2D, Action",Gish,"BlackBerry,Linux,Macintosh,PC","GlobalFun, Chronic Logic, GarageGames",2004-08-02,2004-10-07,8.2,8
18,Sorrent,"Arcade, Football (American), Sports, Team-Based",Fox Sports Football 05,Mobile,Sorrent,2004-10-01,2004-10-06,7,5.8
19,High Voltage Software,"Adventure, 3D, Third-Person",Leisure Suit Larry: Magna Cum Laude,"PC,PlayStation 2,Xbox","VU Games, Assemble Entertainment",2004-10-05,2004-10-06,7.2,7.2
20,High Voltage Software,"Adventure, 3D, Third-Person",Leisure Suit Larry: Magna Cum Laude,"PC,PlayStation 2,Xbox","VU Games, Assemble Entertainment",2004-10-05,2004-10-06,7.1,7.2
21,High Voltage Software,"3D, Third-Person, Adventure",Leisure Suit Larry: Magna Cum Laude,"PC,PlayStation 2,Xbox","VU Games, Assemble Entertainment",2004-10-05,2004-10-06,7.1,7.2
22,Irrational Games,"First-Person, Shooter, 3D, Action",Tribes: Vengeance,PC,"Sierra Entertainment, VU Games",2004-10-12,2004-10-06,8.8,8.4
23,"Gameloft, Red Storm Entertainment","First-Person, Shooter, Tactical, Action",Tom Clancy's Ghost Recon: Jungle Storm,"Mobile,N-Gage,PlayStation 2","Gameloft, Nokia, Ubisoft",2004-03-16,2004-10-05,8.3,7.6
24,Traveller's Tales,"3D, Platformer, Action",Crash Twinsanity,"PlayStation 2,Xbox",VU Games,2004-09-21,2004-10-05,7.3,7.6
25,Traveller's Tales,"Platformer, Action, 3D",Crash Twinsanity,"PlayStation 2,Xbox",VU Games,2004-09-21,2004-10-05,7.4,7.6
26,"I-Play, Ideaworks3D, Codemasters, Six by Nine","Driving/Racing, Simulation",Colin McRae Rally 2005,"Mobile,N-Gage,PC,PlayStation 2,PSP,Xbox","Codemasters, Nokia, Sold Out Software, Interchannel-Holon",2004-09-28,2004-10-04,8.6,8.3
27,"Vicarious Visions, Neversoft Entertainment, Shaba Games","Skateboarding/Skating, Sports",Tony Hawk's Underground 2 Remix,"Game Boy Advance,GameCube,Mobile,PC,PlayStation 2,PSP,Xbox","Activision, Jamdat Mobile, ak tronic",2004-10-04,2004-10-04,8.2,8.4
28,"Vicarious Visions, Neversoft Entertainment, Shaba Games","Sports, Skateboarding/Skating",Tony Hawk's Underground 2 Remix,"Game Boy Advance,GameCube,Mobile,PC,PlayStation 2,PSP,Xbox","Activision, Jamdat Mobile, ak tronic",2004-10-04,2004-10-04,8.3,8.4
29,"Vicarious Visions, Neversoft Entertainment, Shaba Games","Sports, Skateboarding/Skating",Tony Hawk's Underground 2 Remix,"Game Boy Advance,GameCube,Mobile,PC,PlayStation 2,PSP,Xbox","Activision, Jamdat Mobile, ak tronic",2004-10-04,2004-10-04,8.3,8.4
30,"Vicarious Visions, Neversoft Entertainment, Shaba Games","Sports, Skateboarding/Skating",Tony Hawk's Underground 2 Remix,"Game Boy Advance,GameCube,Mobile,PC,PlayStation 2,PSP,Xbox","Activision, Jamdat Mobile, ak tronic",2004-10-04,2004-10-04,8.2,8.4
31,NotTheFly,"Arcade, Soccer, Sports, Team-Based",Power Soccer (2005),Mobile,NotTheFly,2005-05-09,2004-10-04,5,10
32,Fuse Games Limited,Pinball,Mario Pinball Land,Game Boy Advance,Nintendo,2004-10-04,2004-10-04,7.5,7.3
33,Venom Games,"Boxing, Sports",Rocky: Legends,"PlayStation 2,Xbox","Ubisoft, Microsoft Game Studios",2004-09-28,2004-10-04,6.8,7.7
34,Venom Games,"Boxing, Sports",Rocky: Legends,"PlayStation 2,Xbox","Ubisoft, Microsoft Game Studios",2004-09-28,2004-10-04,6.8,7.7
35,"Midway, JGI Entertainment","3D, Action, Fighting",Mortal Kombat: Deception,"GameCube,PlayStation 2,PSP,Xbox",Midway,2004-10-04,2004-10-04,8.5,8.6
36,"Midway, JGI Entertainment","Fighting, 3D, Action",Mortal Kombat: Deception,"GameCube,PlayStation 2,PSP,Xbox",Midway,2004-10-04,2004-10-04,8.5,8.6
37,"Elkware, Ascaron Entertainment GmbH","Real-Time, Strategy",Port Royale 2,"Mobile,PC","Elkware, Value Software, Ascaron Entertainment GmbH, Strategy First",2004-09-13,2004-10-04,8.3,8.2
38,Digital Fiction,"Action, Fighting, 3D",Yu Yu Hakusho: Dark Tournament,PlayStation 2,Atari SA,2004-09-21,2004-10-01,6.9,7.2
39,Stormregion,"Real-Time, Strategy","Codename: Panzers, Phase One",PC,"cdv Software, Nordic Games Publishing",2004-09-30,2004-10-01,8.8,8.5
40,Visual Concepts,"Simulation, Sports, Team-Based, Basketball",ESPN NBA 2K5,"PlayStation 2,Xbox",Sega,2004-09-28,2004-10-01,8.4,8.5
41,Visual Concepts,"Team-Based, Basketball, Simulation, Sports",ESPN NBA 2K5,"PlayStation 2,Xbox",Sega,2004-09-28,2004-10-01,8.4,8.5
42,"Helixe, Heavy Iron Studios, Lavastorm","Adventure, Action",The Incredibles,"Game Boy Advance,GameCube,Macintosh,Mobile,PC,PlayStation 2,Xbox","D3Publisher, THQ, Disney Mobile Studios, Disney Interactive Studios, SCEA",2004-09-28,2004-10-01,6.9,6.5
43,Ratbag,"Driving/Racing, Arcade",The Dukes of Hazzard: Return of the General Lee,"PlayStation 2,Xbox",Ubisoft,2004-09-28,2004-10-01,5.5,7.1
44,Ratbag,"Arcade, Driving/Racing",The Dukes of Hazzard: Return of the General Lee,"PlayStation 2,Xbox",Ubisoft,2004-09-28,2004-10-01,5.5,7.1
45,Shockwave Productions,"Flight, Simulation",Wings of Power: WWII Heavy Bombers and Jets,PC,Tri Synergy,2004-09-13,2004-09-30,8.2,8.6
46,Inti,"2D, Platformer, Action",Mega Man Zero 3,Game Boy Advance,Capcom,2004-10-05,2004-09-30,8.3,8.8
