,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,IR Gurus,"Team-Based, Sports",AFL Premiership 2006,PlayStation 2,SCE Australia,2006-07-20,2006-10-06,6.2,6.7
1,Tilted Mill,"Management, Strategy",Caesar IV,PC,"Vivendi Games, Activision",2006-09-26,2006-10-05,7.7,7.7
2,Strange Flavour,Music/Rhythm,TotemBall,Xbox 360,"Freeverse Software, Freeverse",2006-10-04,2006-10-05,5.7,4.6
3,SCEA,"Sports, Team-Based, Basketball, Simulation",NBA 07,"PlayStation 2,PlayStation 3,PSP","SCEA, SCEI",2006-09-25,2006-10-05,5.9,6.1
4,"Activision, Left Field Productions",Gambling,World Series of Poker: Tournament of Champions,"PC,PlayStation 2,PSP,Wii,Xbox 360",Activision,2006-09-21,2006-10-05,6.4,6.7
5,"Activision, Left Field Productions",Gambling,World Series of Poker: Tournament of Champions,"PC,PlayStation 2,PSP,Wii,Xbox 360",Activision,2006-09-21,2006-10-05,6.4,6.7
6,"Activision, Left Field Productions",Gambling,World Series of Poker: Tournament of Champions,"PC,PlayStation 2,PSP,Wii,Xbox 360",Activision,2006-09-21,2006-10-05,6.4,6.7
7,Big Blue Bubble Inc.,"Strategy, Turn-Based",Mage Knight: Destiny's Soldier,DS,Namco Bandai Games,2006-09-26,2006-10-04,5.6,6.6
8,SCEA,"Team-Based, Basketball, Simulation, Sports",NBA 07,"PlayStation 2,PlayStation 3,PSP","SCEA, SCEI",2006-09-25,2006-10-04,6.8,6.1
9,Mechanic Arms,"Fighting, 3D, Action",Zatch Bell! Mamodo Fury,"GameCube,PlayStation 2","Namco Bandai Games, Bandai",2006-09-19,2006-10-04,4.8,7.1
10,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Action, 3D, Platformer",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-10-04,7.3,6.4
11,Namco Bandai Games,"Driving/Racing, Simulation",MotoGP (2006),PSP,"SCEE, Namco Bandai Games, Bandai Namco Games",2006-09-26,2006-10-03,7,7.2
12,SCEE London Studio,"Action, Adventure",Gangs of London,PSP,"SCEE, SCEA, SCE Australia",2006-10-03,2006-10-03,5.5,6.5
13,Genki,"Driving/Racing, Simulation",Import Tuner Challenge,Xbox 360,"Genki, Ubisoft",2006-09-26,2006-10-02,6.4,6.9
14,Sports Interactive,"Team-Based, Hockey, Simulation, Sports",NHL Eastside Hockey Manager 2007,"Macintosh,PC",Sega,2006-09-22,2006-10-02,8.8,8.4
15,EA Sports,"Simulation, Sports, Team-Based, Basketball",NBA Live 07,"PC,PlayStation 2,PSP,Xbox,Xbox 360","EA Sports, Electronic Arts",2006-09-25,2006-10-02,6.8,6.9
16,"Tri-Ace, TOSE",Role-Playing,Valkyrie Profile,"PlayStation,PSP","Enix Corporation, Square Enix, SCEI",2000-08-29,2006-09-29,8,8.7
17,EA Sports,"Sports, Team-Based, Basketball, Simulation",NBA Live 07,"PC,PlayStation 2,PSP,Xbox,Xbox 360","EA Sports, Electronic Arts",2006-09-25,2006-09-29,6.5,6.9
18,EA Sports,"Simulation, Sports, Team-Based, Basketball",NBA Live 07,"PC,PlayStation 2,PSP,Xbox,Xbox 360","EA Sports, Electronic Arts",2006-09-25,2006-09-29,7.3,6.9
19,EA Sports,"Team-Based, Basketball, Simulation, Sports",NBA Live 07,"PC,PlayStation 2,PSP,Xbox,Xbox 360","EA Sports, Electronic Arts",2006-09-25,2006-09-29,7.1,6.9
20,Konami,Music/Rhythm,Dance Dance Revolution SuperNOVA,"Arcade Games,PlayStation 2",Konami,2006-05-01,2006-09-29,7,8.3
21,Hudson Soft,"Action, Adventure",Rengoku II: The Stairway to H.E.A.V.E.N.,PSP,"Konami, Hudson Soft, Hudson",2006-09-12,2006-09-29,6.4,7.4
22,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","3D, Platformer, Action",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-29,7.2,6.4
23,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","3D, Action, Platformer",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,7.1,6.4
24,"Logicware, Inc., id Software, David A. Palmer Productions, Midway Studios - San Diego, Rage Software, Sega, Sculptured Software, Nerve Software","First-Person, Shooter, 3D, Action",Doom (1993),"3DO,Acorn Archimedes,Game Boy Advance,iOS (iPhone/iPad),Jaguar,NEC PC98,PC,PlayStation,Saturn,Sega 32X,Super Nintendo,Xbox 360","Bashou House, Art Data Interactive, R-Comp, Activision, id Software, Mumin Corp., Atari Corporation, Imagineer, Williams, Soft Bank, GT Interactive, Infogrames, Midway, Tec Toy, Sega, Ocean, Bethesda Softworks",1993-12-10,2006-09-28,7,8.5
25,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Action, Platformer, 3D",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,5.3,6.4
26,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Platformer, Action, 3D",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,5.3,6.4
27,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Action, 3D, Platformer",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,5.3,6.4
28,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Action, 3D, Platformer",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,5.3,6.4
29,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft","Action, Platformer, 3D",Open Season,"DS,Game Boy Advance,GameCube,PC,PlayStation 2,PSP,Wii,Xbox,Xbox 360",Ubisoft,2006-09-19,2006-09-28,5.3,6.4
30,8ing/Raizing,"3D, Fighting, Action",Naruto: Clash of Ninja 2,GameCube,"Tomy Corporation, D3Publisher, Nintendo",2006-09-26,2006-09-26,6,8.2
31,"Visual Concepts, Kush Games","Simulation, Sports, Team-Based, Basketball",NBA 2K7,"PlayStation 2,PlayStation 3,Xbox,Xbox 360","2K Sports, 2K Games",2006-09-25,2006-09-26,7.8,8.5
32,"Visual Concepts, Kush Games","Team-Based, Basketball, Simulation, Sports",NBA 2K7,"PlayStation 2,PlayStation 3,Xbox,Xbox 360","2K Sports, 2K Games",2006-09-25,2006-09-26,7.9,8.5
33,Codemasters,"Management, Soccer, Sports, Team-Based",LMA Manager 2007,"PC,PlayStation 2,Xbox 360",Codemasters,2006-09-22,2006-09-26,7.3,7.1
34,"Visual Concepts, Kush Games","Sports, Team-Based, Basketball, Simulation",NBA 2K7,"PlayStation 2,PlayStation 3,Xbox,Xbox 360","2K Games, 2K Sports",2006-09-25,2006-09-25,8.2,8.5
35,TOSE,"Strategy, Management",Harvest Moon DS,DS,"Natsume, Marvelous, Rising Star Games, Nintendo",2006-09-12,2006-09-25,5.9,8
36,Sensory Sweep,Compilation,Capcom Classics Mini Mix,Game Boy Advance,Capcom,2006-09-19,2006-09-25,6.9,7.1
37,Nintendo Software Technology,"Action, 2D, Platformer",Mario vs. Donkey Kong 2: March of the Minis,DS,Nintendo,2006-09-25,2006-09-22,8.2,8.1
38,"Punchline, Shirogumi","3D, Action, Adventure, Survival",Rule of Rose,PlayStation 2,"SCEI, 505 Game Street, ATLUS",2006-09-12,2006-09-22,6,7.5
39,"Most Wanted Entertainment, HD Interactive","Real-Time, Strategy",Joint Task Force,PC,"Sierra Entertainment, HD Publishing",2006-09-12,2006-09-22,6.5,7.6
40,Backbone Entertainment,Simulation,MechAssault: Phantom War,DS,"Majesco Games, Eidos Interactive",2006-09-12,2006-09-22,7.1,7.5
41,Best Way,"Real-Time, Strategy",Faces of War,PC,"Ubisoft, 1C, Mastertronic",2006-09-12,2006-09-22,6,7.8
42,Avalanche Studios,"Adventure, Action",Just Cause,"PC,PlayStation 2,Xbox,Xbox 360","Eidos Interactive, Mastertronic, Sold Out Software, Square Enix, Electronic Arts",2006-09-27,2006-09-21,7.2,7.4
43,Avalanche Studios,"Action, Adventure",Just Cause,"PC,PlayStation 2,Xbox,Xbox 360","Eidos Interactive, Mastertronic, Sold Out Software, Square Enix, Electronic Arts",2006-09-27,2006-09-21,7.2,7.4
44,Avalanche Studios,"Adventure, Action",Just Cause,"PC,PlayStation 2,Xbox,Xbox 360","Eidos Interactive, Mastertronic, Sold Out Software, Square Enix, Electronic Arts",2006-09-27,2006-09-21,6.7,7.4
45,Avalanche Studios,"Adventure, Action",Just Cause,"PC,PlayStation 2,Xbox,Xbox 360","Eidos Interactive, Sold Out Software, Mastertronic, Square Enix, Electronic Arts",2006-09-27,2006-09-21,7.2,7.4
46,Omega Force,"3D, Beat-'Em-Up, Action",Samurai Warriors 2,"PC,PlayStation 2,PlayStation 3,PlayStation Vita,Xbox 360","Koei, Koei Tecmo Games, TECMO KOEI GAMES CO., LTD.",2006-09-19,2006-09-20,5.4,8
47,Omega Force,"Action, 3D, Beat-'Em-Up",Samurai Warriors 2,"PC,PlayStation 2,PlayStation 3,PlayStation Vita,Xbox 360","Koei, Koei Tecmo Games, TECMO KOEI GAMES CO., LTD.",2006-09-19,2006-09-20,6,8
48,ChunSoft,"Roguelike, Role-Playing",Pokemon Mystery Dungeon: Red/Blue Rescue Team,"DS,Game Boy Advance",Nintendo,2006-09-18,2006-09-20,5.2,8
