,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
0,Rockstar London,"Arcade, Driving/Racing",Midnight Club: LA Remix,PSP,"Take-Two Interactive, Spike, Rockstar Games",2008-10-20,2008-11-18,7.5,8.4
1,"SScholastic Media, Gusto Games",Adventure,Goosebumps HorrorLand,"DS,PlayStation 2,Wii","Scholastic, Inc.",2008-10-30,2008-11-18,3.5,5.7
2,Game Republic,"Action, Adventure",Dragon Ball: Origins,DS,"Atari SA, Bandai Namco Games, Namco Bandai Games, Bandai",2008-11-04,2008-11-17,8,8.3
3,TOSE,Role-Playing,Naruto: Path of the Ninja 2,DS,"Takara Tomy, Tomy Corporation",2008-10-15,2008-11-17,5,8.3
4,"Ubisoft, Ubisoft Montreal","Sports, Snowboarding/Skiing",Shaun White Snowboarding,"DS,Macintosh,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","Ubisoft, Rondomedia, Focus Multimedia",2008-11-16,2008-11-16,5,6.9
5,"Ubisoft, Ubisoft Montreal","Sports, Snowboarding/Skiing",Shaun White Snowboarding,"DS,Macintosh,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","Ubisoft, Rondomedia, Focus Multimedia",2008-11-16,2008-11-16,5,6.9
6,Eighting,"3D, Action, Fighting",Naruto: Clash of Ninja Revolution 2,Wii,Tomy Corporation,2008-10-21,2008-11-14,7.5,8.4
7,"Amaze Entertainment, Aspyr, Toys for Bob",Action,DreamWorks Madagascar: Escape 2 Africa,"DS,PC,PlayStation 2,PlayStation 3,Wii,Xbox 360",Activision,2008-11-04,2008-11-14,7.5,6.5
8,"EA Canada, EA Mobile, EA Sports","Simulation, Soccer, Sports, Team-Based",FIFA Soccer 09,"DS,PC,PlayStation 2,PlayStation 3,PSP,Wii,Windows Mobile,Xbox 360,Zeebo","EA Sports, Electronic Arts, EA Mobile",2008-10-13,2008-11-14,8,8.3
9,EA LA,"Real-Time, Strategy",Command & Conquer: Red Alert 3,"Macintosh,PC,PlayStation 3,Xbox 360",Electronic Arts,2008-10-28,2008-11-13,7,7.6
10,"n-Space, Treyarch, Exakt","Action, First-Person, Shooter, 3D",Call of Duty: World at War,"DS,PC,PlayStation 3,Wii,Xbox 360",Activision,2008-11-10,2008-11-12,8.5,8.4
11,"n-Space, Treyarch, Exakt","Action, First-Person, Shooter, 3D",Call of Duty: World at War,"DS,PC,PlayStation 3,Wii,Xbox 360",Activision,2008-11-10,2008-11-12,8.5,8.4
12,"n-Space, Treyarch, Exakt","First-Person, Shooter, 3D, Action",Call of Duty: World at War,"DS,PC,PlayStation 3,Wii,Xbox 360",Activision,2008-11-10,2008-11-12,8.5,8.4
13,"LucasArts, Krome Studios","Action, Adventure",Star Wars The Clone Wars: Lightsaber Duels,"DS,Wii",LucasArts,2008-11-11,2008-11-12,6.5,6.9
14,"Konami, KCET","Team-Based, Simulation, Soccer, Sports",Pro Evolution Soccer 2009,"PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360",Konami,2008-11-11,2008-11-12,6.5,7.7
15,Harmonix Music Systems,Music/Rhythm,Rock Band 2,"PlayStation 2,PlayStation 3,Wii,Xbox 360","Electronic Arts, MTV Games, EA Games",2008-09-14,2008-11-12,8.5,8.9
16,"Zoe Mode, HB Studios Multimedia",Music/Rhythm,Rock Revolution,"DS,PlayStation 3,Wii,Xbox 360",Konami,2008-10-15,2008-11-11,3.5,3.1
17,"Zoe Mode, HB Studios Multimedia",Music/Rhythm,Rock Revolution,"DS,PlayStation 3,Wii,Xbox 360",Konami,2008-10-15,2008-11-11,3.5,3.1
18,EA DICE,"Action, Adventure",Mirror's Edge,"PC,PlayStation 3,Xbox 360","EA Games, ak tronic, Electronic Arts",2008-11-11,2008-11-11,7,8.1
19,EA DICE,"Adventure, Action",Mirror's Edge,"PC,PlayStation 3,Xbox 360","EA Games, ak tronic, Electronic Arts",2008-11-11,2008-11-11,7,8.1
20,"CyberConnect2, Bandai Namco Games","3D, Action, Fighting",Naruto: Ultimate Ninja Storm,"PC,PlayStation 3,PlayStation 4,Xbox One","Bandai Namco Games, Namco Bandai Games, Atari SA",2008-11-04,2008-11-10,7.5,8.6
21,Spark Unlimited,"Shooter, 3D, Action, First-Person",Legendary,"PC,PlayStation 3,Xbox 360","Atari SA, SouthPeak Games, Gamecock Media Group",2008-11-04,2008-11-10,3.5,5.2
22,Telltale Games,Adventure,Sam & Max: Season One,"PC,Wii,Xbox 360","Telltale Games, GameTap, The Adventure Company, JoWooD Entertainment AG, N3V Games Pty Ltd, DreamCatcher Interactive, Microsoft Game Studios",2007-06-15,2008-11-10,7,8.1
23,Paradox Interactive,"Flight, Simulation",Dark Horizon,PC,"Paradox Interactive, GamersGate",2008-10-07,2008-11-10,4.5,5.5
24,WorldForge,"Real-Time, Strategy",The Golden Horde,PC,"DreamCatcher Interactive, JoWooD Entertainment AG",2008-07-15,2008-11-10,6,6.1
25,Isopod Labs,Simulation,Vigilante 8: Arcade,Xbox 360,Activision,2008-11-05,2008-11-10,4.5,6.2
