,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
1148,"Rockstar Toronto, Rockstar North",Compilation,Grand Theft Auto: Episodes from Liberty City,"PC,PlayStation 3,Xbox 360",Rockstar Games,"Oct 29, 2009","Apr 13, 2010",9.0,8.8
1149,Ubisoft Montreal,"Action, Adventure",Tom Clancy's Splinter Cell: Conviction,"Macintosh,PC,Xbox 360",Ubisoft,"Apr 13, 2010","Apr 13, 2010",8.0,8.2
1150,GungHo,Role-Playing,Mimana Iyar Chronicle,PSP,"GungHo, Aksys Games","Mar 30, 2010","Apr 12, 2010",4.0,7.0
1151,Etranges Libellules,"Action, Adventure",Alice in Wonderland (2010),"DS,PC,Wii",Disney Interactive Studios,"Mar 2, 2010","Apr 9, 2010 ",6.0,7.2
1152,ZootFly,Adventure,Prison Break: The Conspiracy,"PC,PlayStation 3,Xbox 360",Deep Silver,"Mar 30, 2010","Apr 9, 2010 ",2.5,4.5
1153,Etranges Libellules,"Adventure, Action",Alice in Wonderland (2010),"DS,PC,Wii",Disney Interactive Studios,"Mar 2, 2010","Apr 8, 2010 ",8.5,7.2
1154,BioWare,"Role-Playing, Action",Mass Effect 2,"PC,PlayStation 3,Xbox 360","Electronic Arts, ak tronic, EA Games","Jan 26, 2010","Apr 8, 2010 ",6.5,9.0
1155,BioWare,"Role-Playing, Action",Mass Effect 2,"PC,PlayStation 3,Xbox 360","Electronic Arts, EA Games, ak tronic","Jan 26, 2010","Apr 8, 2010 ",6.5,9.0
1156,"HandMade Game, Hudson, Hudson Entertainment",Puzzle,Rooms: The Main Building,"DS,iOS (iPhone/iPad),Macintosh,PC,Wii","Hudson Entertainment, Hudson, Big Fish Games, Zero Rock Entertainment","Aug 11, 2008","Apr 7, 2010 ",7.0,6.6
1157,ATLUS,Role-Playing,Shin Megami Tensei: Strange Journey,"3DS,DS",ATLUS,"Mar 23, 2010","Apr 6, 2010 ",6.0,8.3
1158,Inti,"Action, 2D, Platformer",Mega Man 10,"PlayStation 3,Wii,Xbox 360",Capcom,"Mar 1, 2010","Apr 6, 2010 ",8.0,7.8
1159,Inti,"Action, 2D, Platformer",Mega Man 10,"PlayStation 3,Wii,Xbox 360",Capcom,"Mar 1, 2010","Apr 6, 2010 ",8.0,7.8
1160,Blue Byte,"Management, Strategy",The Settlers 7: Paths to a Kingdom,"Macintosh,PC","TransGaming Inc., Ubisoft, Focus Multimedia, E-Frontier","Mar 23, 2010","Apr 6, 2010 ",7.5,6.6
1161,Sidhe Interactive,Action,Shatter,"Linux,Macintosh,PC,PlayStation 3",Sidhe Interactive,"Jul 23, 2009","Apr 5, 2010 ",8.0,7.9
1162,Inti,"Platformer, Action, 2D",Mega Man 10,"PlayStation 3,Wii,Xbox 360",Capcom,"Mar 1, 2010","Apr 5, 2010 ",8.0,7.8
1163,Tri-Crescendo,"Role-Playing, Action",Fragile Dreams: Farewell Ruins of the Moon,Wii,"Rising Star Games, Xseed Games, Bandai Namco Games","Mar 16, 2010","Apr 2, 2010 ",7.0,8.1
1164,TimeGate Studios,"Shooter, 3D, Action, First-Person",Section 8,"PC,PlayStation 3,Xbox 360","SouthPeak Games, TimeGate Studios","Aug 25, 2009","Mar 31, 2010",7.0,7.0
1165,Tri-Ace,Role-Playing,Resonance of Fate,"PlayStation 3,Xbox 360",Sega,"Mar 16, 2010","Mar 30, 2010",8.5,8.0
1166,Tri-Ace,Role-Playing,Resonance of Fate,"PlayStation 3,Xbox 360",Sega,"Mar 16, 2010","Mar 30, 2010",8.5,8.0
1167,Hi-Rez Studios,"Role-Playing, MMO",Global Agenda,PC,"Hi-Rez Studios, Iceberg Interactive","Feb 1, 2010","Mar 30, 2010",5.5,7.3
1168,Monumental Games,"Driving/Racing, Simulation",MotoGP 09/10,"PlayStation 3,Xbox 360",Capcom,"Mar 23, 2010","Mar 30, 2010",7.0,6.6
