,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
32,"EA Redwood Shores, Electronic Arts","Action, First-Person, Shooter, 3D",James Bond 007: Agent Under Fire,"GameCube,PlayStation 2,Xbox",Electronic Arts,"Nov 13, 2001","Mar 28, 2002",6.8,7.3
33,"Farsight Technologies, Konami","Simulation, Sports, Team-Based, Football (American)",ESPN NFL PrimeTime 2002,"PC,PlayStation 2,Xbox",Konami,"Dec 2, 2001","Mar 27, 2002",3.6,5.6
34,Smilebit,"Arcade, Baseball, Sports, Team-Based",Baseball Advance,Game Boy Advance,"THQ, Sega","Mar 20, 2002","Mar 27, 2002",8.0,8.4
35,"Nixxes Software, Crystal Dynamics","Survival, 3D, Action, Adventure",Blood Omen 2,"GameCube,PC,PlayStation 2,Xbox","Eidos Interactive, Square Enix","Mar 21, 2002","Mar 27, 2002",7.6,7.9
36,"Nixxes Software, Crystal Dynamics","3D, Action, Adventure, Survival",Blood Omen 2,"GameCube,PC,PlayStation 2,Xbox","Eidos Interactive, Square Enix","Mar 21, 2002","Mar 27, 2002",7.4,7.9
37,"Electronic Arts, EA Games, Origin","MMO, Role-Playing",Ultima Online,PC,"Electronic Arts, EA Games","Sep 30, 1997","Mar 26, 2002",6.7,7.6
38,"Natsume, Vicarious Visions, Artificial Mind and Movement",Action,"Monsters, Inc.","Game Boy Advance,Game Boy Color,PlayStation 2","THQ, Tomy Corporation, SCEE, SCEA","Oct 19, 2001","Mar 26, 2002",5.5,5.2
39,Namco,"Sports, Tennis",Smash Court Tennis Pro Tournament,PlayStation 2,"SCEE, Namco","Mar 20, 2002","Mar 26, 2002",7.2,7.4
40,"Mobius Entertainment, 3DO","Team-Based, Baseball, Simulation, Sports",High Heat Major League Baseball 2003,"Game Boy Advance,PC,PlayStation 2","Takara, 3DO","Feb 9, 2002","Mar 25, 2002",6.2,7.5
41,"EA Redwood Shores, Electronic Arts","3D, Action, First-Person, Shooter",James Bond 007: Agent Under Fire,"GameCube,PlayStation 2,Xbox",Electronic Arts,"Nov 13, 2001","Mar 25, 2002",6.8,7.3
42,Eighting/Raizing,"Fighting, Action, 3D",Bloody Roar: Primal Fury,"GameCube,Xbox","Hudson, Activision, Konami","Mar 18, 2002","Mar 22, 2002",7.2,7.8
43,Innonics,"Real-Time, Strategy",Diggles,PC,"Strategy First, Innonics","Mar 20, 2002","Mar 22, 2002",6.3,7.7
44,Pandemic Studios,"Sports, Team-Based, Baseball, Simulation",Triple Play 2002,"PlayStation 2,Xbox",Electronic Arts,"Mar 11, 2002","Mar 22, 2002",8.6,7.4
45,Zoom,"Action, Shooter, Third-Person, 3D",Mister Mosquito,PlayStation 2,"SCEI, Eidos Interactive","Mar 12, 2002","Mar 22, 2002",6.4,7.1
46,Wow Entertainment,"Simulation, Sports, Team-Based, Baseball",Home Run King,GameCube,Sega,"Mar 18, 2002","Mar 22, 2002",7.1,7.0
47,"Atari Games (Midway), Pocket Studios, Midway","Action, Beat-'Em-Up, 3D",Gauntlet: Dark Legacy,"Arcade Games,Game Boy Advance,GameCube,PlayStation 2,Xbox",Midway,2000,"Mar 22, 2002",5.1,7.5
48,Core Design Ltd.,"Adventure, Action",Herdy Gerdy,PlayStation 2,Eidos Interactive,"Mar 4, 2002","Mar 21, 2002",6.8,5.7
